label,tag,model,prompt_jsonl,prompt_offset,prompt_count_loaded,prompt_count_used,num_batches,batch_size,isl,osl,tp,pp,total_gpus,spec_active,spec_method,parallel_drafting,num_speculative_tokens,draft_model,latency_s,mean_latency_s,output_tok_s,output_tok_s_per_gpu,speedup_vs_baseline,metrics_available,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,num_drafts,num_draft_tokens,num_accepted_tokens,acceptance_rate_by_position_pct,breakdown_json
qwen235b_math500_osl32k_baseline_t00_offset0_n4_isl4096_osl32768_bs4_k0_20260617_qmath_osl32k_bsweep,qwen235b_math500_osl32k_baseline_t00_offset0_n4_isl4096_osl32768_bs4_k0_20260617_qmath_osl32k_bsweep,Qwen/Qwen3-235B-A22B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_qmath_20260617.jsonl,0,4,4,1,4,4096,32768,4,1,4,False,,,,,4170.4135605420015,4170.4135605420015,31.429017313804586,7.8572543284511465,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_baseline_t00_offset0_n4_isl4096_osl32768_bs4_k0_20260617_qmath_osl32k_bsweep/breakdown.json
qwen235b_math500_osl32k_baseline_t10_offset0_n4_isl4096_osl32768_bs4_k0_20260617_qmath_osl32k_bsweep,qwen235b_math500_osl32k_baseline_t10_offset0_n4_isl4096_osl32768_bs4_k0_20260617_qmath_osl32k_bsweep,Qwen/Qwen3-235B-A22B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_qmath_20260617.jsonl,0,4,4,1,4,4096,32768,4,1,4,False,,,,,4240.875190171064,4240.875190171064,30.90682798300248,7.72670699575062,0.9833851206485942,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_baseline_t10_offset0_n4_isl4096_osl32768_bs4_k0_20260617_qmath_osl32k_bsweep/breakdown.json
qwen235b_math500_osl32k_eagle3_t00_offset0_n4_isl4096_osl32768_bs4_k3_20260617_qmath_osl32k_bsweep,qwen235b_math500_osl32k_eagle3_t00_offset0_n4_isl4096_osl32768_bs4_k3_20260617_qmath_osl32k_bsweep,Qwen/Qwen3-235B-A22B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_qmath_20260617.jsonl,0,4,4,1,4,4096,32768,4,1,4,True,eagle3,,3,nvidia/Qwen3-235B-A22B-Eagle3,2059.413005908951,2059.413005908951,63.64532011011046,15.911330027527615,2.0250496372393894,True,56.976311546570756,2.7092893463971226,1.7092893463971226,48378,145134,82692,"86.6530,54.7894,29.4865",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_eagle3_t00_offset0_n4_isl4096_osl32768_bs4_k3_20260617_qmath_osl32k_bsweep/breakdown.json
qwen235b_math500_osl32k_eagle3_t10_offset0_n4_isl4096_osl32768_bs4_k3_20260617_qmath_osl32k_bsweep,qwen235b_math500_osl32k_eagle3_t10_offset0_n4_isl4096_osl32768_bs4_k3_20260617_qmath_osl32k_bsweep,Qwen/Qwen3-235B-A22B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_qmath_20260617.jsonl,0,4,4,1,4,4096,32768,4,1,4,True,eagle3,,3,nvidia/Qwen3-235B-A22B-Eagle3,2384.910141155997,2384.910141155997,54.95888408460861,13.739721021152153,1.7486669575401899,True,46.37258121404507,2.3911774364213523,1.3911774364213523,54814,164442,76256,"81.8897,37.4941,19.7340",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_eagle3_t10_offset0_n4_isl4096_osl32768_bs4_k3_20260617_qmath_osl32k_bsweep/breakdown.json
qwen235b_math500_osl32k_pard2_t00_offset0_n4_isl4096_osl32768_bs4_k1_20260617_qmath_osl32k_bsweep,qwen235b_math500_osl32k_pard2_t00_offset0_n4_isl4096_osl32768_bs4_k1_20260617_qmath_osl32k_bsweep,Qwen/Qwen3-235B-A22B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_qmath_20260617.jsonl,0,4,4,1,4,4096,32768,4,1,4,True,pard2,True,1,amd/PARD2-Qwen3-8B,6577.093466949998,6577.093466949998,19.928559729102062,4.9821399322755155,0.6340815409570196,True,3.1820257270165166,1.0318202572701651,0.031820257270165166,127026,127026,4042,3.1820,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_pard2_t00_offset0_n4_isl4096_osl32768_bs4_k1_20260617_qmath_osl32k_bsweep/breakdown.json
qwen235b_math500_osl32k_pard2_t10_offset0_n4_isl4096_osl32768_bs4_k1_20260617_qmath_osl32k_bsweep,qwen235b_math500_osl32k_pard2_t10_offset0_n4_isl4096_osl32768_bs4_k1_20260617_qmath_osl32k_bsweep,Qwen/Qwen3-235B-A22B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_qmath_20260617.jsonl,0,4,4,1,4,4096,32768,4,1,4,True,pard2,True,1,amd/PARD2-Qwen3-8B,5128.94762846909,5128.94762846909,25.55533990490812,6.38883497622703,0.8131129156775587,True,1.1936196167446458,1.0119361961674465,0.011936196167446457,129522,129522,1546,1.1936,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_pard2_t10_offset0_n4_isl4096_osl32768_bs4_k1_20260617_qmath_osl32k_bsweep/breakdown.json
qwen235b_math500_osl32k_pard_t00_offset0_n4_isl4096_osl32768_bs4_k5_20260617_qmath_osl32k_bsweep,qwen235b_math500_osl32k_pard_t00_offset0_n4_isl4096_osl32768_bs4_k5_20260617_qmath_osl32k_bsweep,Qwen/Qwen3-235B-A22B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_qmath_20260617.jsonl,0,4,4,1,4,4096,32768,4,1,4,True,draft_model,True,5,amd/PARD-Qwen3-0.6B,1826.4522477459395,1826.4522477459395,71.76316827431899,17.940792068579746,2.2833411416525076,True,55.728688216772106,3.786434410838605,2.786434410838605,34617,173085,96458,"95.4964,65.6585,51.1309,37.9611,28.3965",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_pard_t00_offset0_n4_isl4096_osl32768_bs4_k5_20260617_qmath_osl32k_bsweep/breakdown.json
qwen235b_math500_osl32k_pard_t10_offset0_n4_isl4096_osl32768_bs4_k5_20260617_qmath_osl32k_bsweep,qwen235b_math500_osl32k_pard_t10_offset0_n4_isl4096_osl32768_bs4_k5_20260617_qmath_osl32k_bsweep,Qwen/Qwen3-235B-A22B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_qmath_20260617.jsonl,0,4,4,1,4,4096,32768,4,1,4,True,draft_model,True,5,amd/PARD-Qwen3-0.6B,4514.53764658107,4514.53764658107,29.033316423723456,7.258329105930864,0.9237742349319695,True,17.861259153342864,1.8930629576671434,0.8930629576671433,69237,346185,61833,"39.2420,24.1908,13.4610,7.1681,5.2443",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_pard_t10_offset0_n4_isl4096_osl32768_bs4_k5_20260617_qmath_osl32k_bsweep/breakdown.json
qwen235b_math500_osl32k_suffix_t00_offset0_n4_isl4096_osl32768_bs4_k32_20260617_qmath_osl32k_bsweep,qwen235b_math500_osl32k_suffix_t00_offset0_n4_isl4096_osl32768_bs4_k32_20260617_qmath_osl32k_bsweep,Qwen/Qwen3-235B-A22B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_qmath_20260617.jsonl,0,4,4,1,4,4096,32768,4,1,4,True,suffix,,32,,634.6992152429884,634.6992152429884,206.510417615406,51.6276044038515,6.570692794925545,True,89.8443974564522,8.803498150016818,7.803498150016818,14865,129111,115999,"78.1971,70.8241,67.2116,65.6105,64.3996,63.2425,62.8187,62.1123,61.8769,61.6078,61.4800,60.9687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_suffix_t00_offset0_n4_isl4096_osl32768_bs4_k32_20260617_qmath_osl32k_bsweep/breakdown.json
qwen235b_math500_osl32k_suffix_t10_offset0_n4_isl4096_osl32768_bs4_k32_20260617_qmath_osl32k_bsweep,qwen235b_math500_osl32k_suffix_t10_offset0_n4_isl4096_osl32768_bs4_k32_20260617_qmath_osl32k_bsweep,Qwen/Qwen3-235B-A22B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_qmath_20260617.jsonl,0,4,4,1,4,4096,32768,4,1,4,True,suffix,,32,,925.9995400810149,925.9995400810149,141.5465065873927,35.38662664684818,4.50368858733681,True,74.29014254930085,6.164256686513562,5.164256686513562,21162,147107,109286,"66.4209,55.4910,48.3366,44.9012,43.0441,40.9082,39.2969,37.4161,36.7782,35.3700,34.6376,33.8248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_osl32k_bsweep_20260617/qwen235b_math500_osl32k_suffix_t10_offset0_n4_isl4096_osl32768_bs4_k32_20260617_qmath_osl32k_bsweep/breakdown.json
