label,tag,model,prompt_jsonl,prompt_offset,prompt_count_loaded,prompt_count_used,num_batches,batch_size,isl,osl,tp,pp,total_gpus,spec_active,spec_method,parallel_drafting,num_speculative_tokens,draft_model,latency_s,mean_latency_s,output_tok_s,output_tok_s_per_gpu,speedup_vs_baseline,metrics_available,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,num_drafts,num_draft_tokens,num_accepted_tokens,acceptance_rate_by_position_pct,breakdown_json
math500_osl32k_qwen235b_eagle3_k3,qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260614_temp1rl_math,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,4,1,4,True,eagle3,,3,nvidia/Qwen3-235B-A22B-Eagle3,7310.084553351015,1827.5211383377537,17.93029875966555,4.482574689916388,,True,43.07851058992252,2.292355317697676,1.2923553176976756,57177,171531,73893,"67.3977,41.7318,20.1060",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260614_temp1rl_math/breakdown.json
math500_osl32k_qwen235b_pard_k5,qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260614_temp1rl_math,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,4,1,4,True,draft_model,True,5,amd/PARD-Qwen3-0.6B,7216.6431652810425,1804.1607913202606,18.162460994411045,4.540615248602761,,True,34.70035890159419,2.7350179450797096,1.7350179450797096,47924,239620,83149,"70.7266,40.6832,29.4195,19.1741,13.4985",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260614_temp1rl_math/breakdown.json
math500_osl32k_qwen235b_suffix_k32,qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260614_temp1rl_math,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,4,1,4,True,suffix,,32,,4337.698759453138,1084.4246898632846,30.216943883978814,7.554235970994704,,True,59.24627354214926,3.734088598402324,2.734088598402324,34425,158864,94121,"51.2854,36.3021,29.1619,24.6478,22.6202,20.2643,18.6405,16.5171,15.1808,13.9230,12.8686,11.9971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260614_temp1rl_math/breakdown.json
math500_osl32k_qwen235b_eagle3_k3,qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260614_temp1rl_math,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,2,2,4096,32768,4,1,4,True,eagle3,,3,nvidia/Qwen3-235B-A22B-Eagle3,4099.421828911989,2049.7109144559945,31.97328927596292,7.99332231899073,,True,42.043062696249265,2.261291880887478,1.261291880887478,57962,173886,73107,"65.8397,41.7584,18.5311",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260614_temp1rl_math/breakdown.json
math500_osl32k_qwen235b_pard_k5,qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260614_temp1rl_math,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,2,2,4096,32768,4,1,4,True,draft_model,True,5,amd/PARD-Qwen3-0.6B,4551.683783497079,2275.8418917485396,28.796376513505688,7.199094128376422,,True,28.836559420235858,2.4418279710117927,1.4418279710117927,53677,268385,77393,"62.1719,37.3400,22.0169,13.4750,9.1790",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260614_temp1rl_math/breakdown.json
math500_osl32k_qwen235b_suffix_k32,qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260614_temp1rl_math,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,2,2,4096,32768,4,1,4,True,suffix,,32,,1413.6171336750267,706.8085668375134,92.72100406653097,23.18025101663274,,True,73.35639909062589,6.516373423715296,5.516373423715296,20063,150873,110675,"70.9017,59.1487,52.6541,48.9508,45.3970,43.1242,41.6438,40.2283,39.0221,37.8109,36.8639,35.8919,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260614_temp1rl_math/breakdown.json
full_osl32k_qwen235b_baseline,qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_baseline_offset0_n2_isl4096_osl32768_bs2_20260614_temp1rl,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_full_test_prompts_all.jsonl,0,2,2,1,2,4096,32768,4,1,4,False,,,,,3970.350521564018,3970.350521564018,16.506351175810988,4.126587793952747,1.0,False,,,,,,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_baseline_offset0_n2_isl4096_osl32768_bs2_20260614_temp1rl/breakdown.json
full_osl32k_qwen235b_eagle3_k11,qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_eagle3_offset0_n2_isl4096_osl32768_bs2_k11_20260614_temp1rl,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_full_test_prompts_all.jsonl,0,2,2,1,2,4096,32768,4,1,4,True,eagle3,,11,nvidia/Qwen3-235B-A22B-Eagle3,3219.7581155889784,3219.7581155889784,20.354324035304664,5.088581008826166,1.2331207435555254,True,6.0559835252841125,1.6661581877812524,0.6661581877812524,39333,432663,26202,"40.2156,20.5527,4.0729,1.2839,0.2898,0.1093,0.0331,0.0229,0.0153,0.0127,0.0076",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_eagle3_offset0_n2_isl4096_osl32768_bs2_k11_20260614_temp1rl/breakdown.json
full_osl32k_qwen235b_eagle3_k9,qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_eagle3_offset0_n2_isl4096_osl32768_bs2_k9_20260614_temp1rl,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_full_test_prompts_all.jsonl,0,2,2,1,2,4096,32768,4,1,4,True,eagle3,,9,nvidia/Qwen3-235B-A22B-Eagle3,3174.367882658,3174.367882658,20.645370172131596,5.161342543032899,1.250753116314772,True,9.491343216023537,1.8542208894421184,0.8542208894421184,35348,318132,30195,"38.0304,16.4479,8.0203,4.9677,3.8333,3.6098,3.5278,3.4995,3.4853",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_eagle3_offset0_n2_isl4096_osl32768_bs2_k9_20260614_temp1rl/breakdown.json
full_osl32k_qwen235b_pard2_k11,qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_pard2_offset0_n2_isl4096_osl32768_bs2_k11_20260614_temp1rl,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_full_test_prompts_all.jsonl,0,2,2,1,2,4096,32768,4,1,4,True,pard2,True,11,amd/PARD2-Qwen3-8B,4941.989325028029,4941.989325028029,13.261056568475754,3.3152641421189384,0.8033911569692636,True,0.7406607287789525,1.0814726801656849,0.08147268016568476,60597,666567,4937,"6.1241,1.2921,0.3961,0.1650,0.0759,0.0314,0.0248,0.0132,0.0132,0.0066,0.0050",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_pard2_offset0_n2_isl4096_osl32768_bs2_k11_20260614_temp1rl/breakdown.json
full_osl32k_qwen235b_pard2_k9,qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_pard2_offset0_n2_isl4096_osl32768_bs2_k9_20260614_temp1rl,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_full_test_prompts_all.jsonl,0,2,2,1,2,4096,32768,4,1,4,True,pard2,True,9,amd/PARD2-Qwen3-8B,4543.5841900690575,4543.5841900690575,14.423855101715178,3.6059637754287945,0.8738366794747724,True,1.6718454669405285,1.1504660920246477,0.15046609202464759,56963,512667,8571,"11.0563,1.9873,1.0077,0.4090,0.2265,0.1387,0.1018,0.0650,0.0544",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_pard2_offset0_n2_isl4096_osl32768_bs2_k9_20260614_temp1rl/breakdown.json
full_osl32k_qwen235b_pard_k11,qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_pard_offset0_n2_isl4096_osl32768_bs2_k11_20260614_temp1rl,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_full_test_prompts_all.jsonl,0,2,2,1,2,4096,32768,4,1,4,True,draft_model,True,11,amd/PARD-Qwen3-0.6B,2788.0110425929306,2788.0110425929306,23.506363138020298,5.876590784505074,1.4240799124925552,True,8.407875975284774,1.9248663572813252,0.9248663572813253,34046,374506,31488,"48.6548,22.9102,10.7648,5.2605,2.5671,1.1837,0.6403,0.2702,0.1234,0.0734,0.0382",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_pard_offset0_n2_isl4096_osl32768_bs2_k11_20260614_temp1rl/breakdown.json
full_osl32k_qwen235b_pard_k9,qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_pard_offset0_n2_isl4096_osl32768_bs2_k9_20260614_temp1rl,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_full_test_prompts_all.jsonl,0,2,2,1,2,4096,32768,4,1,4,True,draft_model,True,9,amd/PARD-Qwen3-0.6B,2852.761683604913,2852.761683604913,22.972826779271994,5.7432066948179985,1.3917568173962769,True,11.602882006175728,2.0442593805558156,1.0442593805558156,32061,288549,33480,"38.7262,22.1266,17.4262,8.8394,6.9337,3.6337,2.8789,2.0586,1.8028",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_pard_offset0_n2_isl4096_osl32768_bs2_k9_20260614_temp1rl/breakdown.json
