job_id,dataset,model_group,method,method_detail,model,prompt_offset,prompt_count,isl,osl,batch_sizes,logs_dir,breakdown_json,tracker_file,label
2113211,full,qwen235b,eagle3_k11,eagle3_k11,Qwen/Qwen3-235B-A22B,0,2,4096,32768,2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_eagle3_offset0_n2_isl4096_osl32768_bs2_k11_20260613,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_eagle3_offset0_n2_isl4096_osl32768_bs2_k11_20260613/breakdown.json,latest_lyris_qwen235b_swebench_osl32k_drafter_k9_k11_20260613_jobs.csv,full_osl32k_qwen235b_eagle3_k11
2113214,full,qwen235b,eagle3_k11,eagle3_k11,Qwen/Qwen3-235B-A22B,0,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4_eagle3_offset0_n4_isl4096_osl32768_bs4_k11_20260613,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4_eagle3_offset0_n4_isl4096_osl32768_bs4_k11_20260613/breakdown.json,latest_lyris_qwen235b_swebench_osl32k_drafter_k9_k11_20260613_jobs.csv,full_osl32k_qwen235b_eagle3_k11
2113219,full,qwen235b,eagle3_k11,eagle3_k11,Qwen/Qwen3-235B-A22B,0,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8_eagle3_offset0_n8_isl4096_osl32768_bs8_k11_20260613,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8_eagle3_offset0_n8_isl4096_osl32768_bs8_k11_20260613/breakdown.json,latest_lyris_qwen235b_swebench_osl32k_drafter_k9_k11_20260613_jobs.csv,full_osl32k_qwen235b_eagle3_k11
2113221,full,qwen235b,eagle3_k11,eagle3_k11,Qwen/Qwen3-235B-A22B,0,16,4096,32768,16,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16_eagle3_offset0_n16_isl4096_osl32768_bs16_k11_20260613,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16_eagle3_offset0_n16_isl4096_osl32768_bs16_k11_20260613/breakdown.json,latest_lyris_qwen235b_swebench_osl32k_drafter_k9_k11_20260613_jobs.csv,full_osl32k_qwen235b_eagle3_k11
2113222,full,qwen235b,eagle3_k11,eagle3_k11,Qwen/Qwen3-235B-A22B,0,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32_eagle3_offset0_n32_isl4096_osl32768_bs32_k11_20260613,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32_eagle3_offset0_n32_isl4096_osl32768_bs32_k11_20260613/breakdown.json,latest_lyris_qwen235b_swebench_osl32k_drafter_k9_k11_20260613_jobs.csv,full_osl32k_qwen235b_eagle3_k11
2113197,full,qwen235b,eagle3_k9,eagle3_k9,Qwen/Qwen3-235B-A22B,0,2,4096,32768,2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_eagle3_offset0_n2_isl4096_osl32768_bs2_k9_20260613,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_eagle3_offset0_n2_isl4096_osl32768_bs2_k9_20260613/breakdown.json,latest_lyris_qwen235b_swebench_osl32k_drafter_k9_k11_20260613_jobs.csv,full_osl32k_qwen235b_eagle3_k9
2113199,full,qwen235b,eagle3_k9,eagle3_k9,Qwen/Qwen3-235B-A22B,0,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4_eagle3_offset0_n4_isl4096_osl32768_bs4_k9_20260613,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4_eagle3_offset0_n4_isl4096_osl32768_bs4_k9_20260613/breakdown.json,latest_lyris_qwen235b_swebench_osl32k_drafter_k9_k11_20260613_jobs.csv,full_osl32k_qwen235b_eagle3_k9
2113200,full,qwen235b,eagle3_k9,eagle3_k9,Qwen/Qwen3-235B-A22B,0,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8_eagle3_offset0_n8_isl4096_osl32768_bs8_k9_20260613,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8_eagle3_offset0_n8_isl4096_osl32768_bs8_k9_20260613/breakdown.json,latest_lyris_qwen235b_swebench_osl32k_drafter_k9_k11_20260613_jobs.csv,full_osl32k_qwen235b_eagle3_k9
2113201,full,qwen235b,eagle3_k9,eagle3_k9,Qwen/Qwen3-235B-A22B,0,16,4096,32768,16,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16_eagle3_offset0_n16_isl4096_osl32768_bs16_k9_20260613,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16_eagle3_offset0_n16_isl4096_osl32768_bs16_k9_20260613/breakdown.json,latest_lyris_qwen235b_swebench_osl32k_drafter_k9_k11_20260613_jobs.csv,full_osl32k_qwen235b_eagle3_k9
2113202,full,qwen235b,eagle3_k9,eagle3_k9,Qwen/Qwen3-235B-A22B,0,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32_eagle3_offset0_n32_isl4096_osl32768_bs32_k9_20260613,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32_eagle3_offset0_n32_isl4096_osl32768_bs32_k9_20260613/breakdown.json,latest_lyris_qwen235b_swebench_osl32k_drafter_k9_k11_20260613_jobs.csv,full_osl32k_qwen235b_eagle3_k9
