model,shape,baseline_job,pard_job,k,status,window,max_new_tokens,generation_tp,draft_tp,train_nodes,generation_nodes,global_batch_size,baseline_total_step_time_s,pard_total_step_time_s,total_step_speedup,baseline_generation_time_s,pard_generation_time_s,generation_time_speedup,baseline_e2e_tps_per_gpu,pard_e2e_tps_per_gpu,e2e_throughput_speedup,baseline_generation_tps_per_gpu,pard_generation_tps_per_gpu,generation_throughput_speedup,baseline_generation_fraction_pct,pard_generation_fraction_pct,acceptance_rate_pct,notes
Qwen3-235B-A22B,noncolocated_tp4_32train_4gen,3209047,3209048,3,completed_metrics,step2-5,256,4,4,32,4,256,92.7450,65.2450,1.421,57.7675,30.6075,1.887,6.8800,9.7700,1.420,98.3325,185.6200,1.888,62.29,46.91,57.58,"Clean Qwen3-235B NeMo-RL Full-GRPO result; non-colocated generation avoids the colocated TP4 host-memory OOM and preserves generation TP4. Shutdown emitted recvBytes noise after all timing metrics."
Qwen3-235B-A22B,noncolocated_tp4_32train_4gen,3209170,3209171,3,completed_metrics,step2-3,1024,4,4,32,4,256,267.5500,169.3750,1.580,227.5400,126.5950,1.797,7.3600,11.7100,1.591,77.8550,140.4400,1.804,85.05,74.75,50.66,"First Qwen3-235B decode-heavy ramp beyond fixed256; NeMo-RL latest-main worker venv with vLLM 0.20.0, fixed decode 1024, max_model_len 8192, max_num_batched_tokens 16384. PARD K3 remains strongly positive in steady-state Step2-3."
Qwen3-235B-A22B,noncolocated_tp4_32train_4gen,3210580,3211503,9,completed_metrics,step2-5,256,4,4,32,4,256,92.7300,61.4225,1.510,57.7325,27.2975,2.115,6.8675,10.4750,1.525,98.3800,208.1750,2.116,62.26,44.44,28.60,"Aggressive K9 fixed256 gate on the same clean non-colocated TP4 shape. It is faster than the matched baseline, but acceptance is much lower than K3/K5 OpenMath expectations. High-batch standalone batch64/128 favors K5 over K9, so K9 should not be the static high-batch default without an adaptive controller."
Qwen3-235B-A22B,noncolocated_tp4_32train_4gen,3210580,3211706,5,completed_metrics,step2-5,256,4,4,32,4,256,92.7300,62.0625,1.494,57.7325,28.2075,2.047,6.8675,10.2825,1.497,98.3800,201.3750,2.047,62.26,45.45,42.19,"Matched K5 fixed256 gate on the same clean non-colocated TP4 shape after high-batch standalone batch64/128 favored K5 over K9. It is slightly slower than K9 but acceptance is much better, so K5 is the preferred static high-batch candidate. A 20-step K5 stability run was submitted as 3211900."
Qwen3-235B-A22B,noncolocated_tp4_32train_4gen_gbs512,3212012,3212209,5,completed_metrics,step2-5,256,4,4,32,4,512,153.7750,84.9630,1.810,115.5730,50.5780,2.285,8.3450,15.1430,1.815,99.6320,227.8120,2.287,75.16,59.53,43.08,"Matched GBS512 performance gate requested after GBS256 was reclassified as functional/stability only. Earlier K5 attempts 3212013 and 3212068 failed before valid metrics due checkpoint-path readiness and Ray head/GCS startup respectively, not OOM. Retry2 3212209 completed 5/5 with no fatal/OOM pattern and confirms K5 remains strongly positive at GBS512."
Qwen3-235B-A22B,noncolocated_tp4_32train_4gen_gbs512,3212012,3212919,3,completed_metrics,step2-5,256,4,4,32,4,512,153.7750,96.2825,1.597,115.5730,59.7625,1.934,8.3450,13.3400,1.599,99.6320,192.7300,1.934,75.16,62.07,56.64,"Matched GBS512 static K3 gate submitted after OpenMath high-batch standalone favored K3. It completed 5/5 with no OOM and remains strongly faster than baseline, but it is slower than static K5 3212209: K5 is about 1.133x faster in total step and 1.182x faster in generation time. K5 remains the NeMo-RL GBS512 static baseline."
Qwen3-235B-A22B,noncolocated_tp4_32train_4gen_gbs512_dynamic_k5cap3_medium16,3212012,3213606,5,completed_metrics_dynamic_k,step2-5,256,4,4,32,4,512,153.7750,98.2425,1.565,115.5730,60.6025,1.907,8.3450,13.1450,1.575,99.6320,190.0850,1.908,75.16,61.68,56.83,"Dynamic-K medium16 GBS512 run after the actor venv marker smoke 3213497. Runtime logs showed selected=3 tier=large for dense requests=32 and selected=5 only on small tail batches. It completed 5/5 without OOM and is positive vs baseline, but it is slower than static K5 3212209 and nearly identical to static K3 3212919. K5 remains the validated NeMo-RL GBS512 default; medium16 dynamic-K is useful as runtime proof, not as the best current policy."
Qwen3-30B-A3B,colocated_4n4g_gbs2048,3207492,3207978,3,completed_metrics,step2-20,256,1,1,4,0,2048,248.8453,229.8016,1.083,54.1111,31.4863,1.719,188.6089,204.2337,1.083,867.7026,1492.5053,1.720,21.74,13.70,69.10,"GBS2048 official recipe shape with mem80 and max_num_batched_tokens 16384; PARD gives clear generation speedup but E2E gain is limited because generation is only 21.7% of baseline step time."
Qwen3-32B,colocated_4n4g_gbs512_mem80_bt16k,3210222,3210223,3,completed_metrics,step2-20,256,2,2,4,0,512,85.1100,73.5900,1.156,32.0200,21.1800,1.512,139.9300,161.7200,1.156,371.9400,562.6900,1.513,37.62,28.78,64.88,"Small-model stability gate; target generation TP2 and draft TP2. This is a fixed256 conservative vLLM memory envelope, not the original 4096-token performance YAML."
Qwen3-32B,colocated_4n4g_gbs2048_mem80_bt16k,3210224,3210225,3,completed_metrics,step2-20,256,2,2,4,0,2048,256.2060,208.7760,1.227,117.1460,68.7320,1.704,183.2230,225.0060,1.228,400.8250,683.4170,1.705,45.72,32.92,63.86,"Small-model GBS2048 stability gate completed 20/20 with no Step-3 CuMem OOM. Target generation TP2 and draft TP2; fixed256 mem80/bt16k envelope."
Qwen3-235B-A22B,noncolocated_tp4_32train_4gen_gbs512_gate16,3212012,3212702,5,completed_metrics_baseline_like_static_gate,step2-5,256,4,4,32,4,512,153.7750,151.1850,1.017,115.5730,115.9930,0.996,8.3450,8.4850,1.017,99.6320,99.2850,0.997,75.16,76.72,,"Negative control for the runtime request gate. Shape matches the valid GBS512 K5 performance pair, but VLLM_SPECDEC_BATCH_SIZE_GATE_THRESHOLD=16 disables speculation in the dense max_num_seqs=32 phase. No acceptance buckets emitted. Result is baseline-like, not a SpecDec win: static K5 job 3212209 remains 1.779x faster in total step and 2.293x faster in generation than this gate16 run. Use this to justify true dynamic-K/controller work rather than static on/off gating."
