job_id,dataset,model_group,label,method,method_detail,model,prompt_count,isl,osl,batch_sizes,log_path,latest_prompt_tok_s,latest_generation_tok_s,running_reqs,waiting_reqs,gpu_kv_cache_pct,prefix_cache_hit_pct,live_acceptance_pct,live_mean_acceptance_length,live_accepted_throughput,live_drafted_throughput,completed_batch_rows,last_completed_bs,last_completed_out_tok_s_gpu,last_completed_latency_s,last_completed_coverage_pct,latest_error,tail_status
2109238,full,qwen30,full_osl32k_qwen30_baseline,baseline,baseline,Qwen/Qwen3-30B-A3B,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs4_baseline_offset0_n4_isl4096_osl32768_bs4_20260612/slurm-2109238.out,0.0,80.6,4,0,7.2,1.7,,,,,0,,,,,,ok
2109250,full,qwen30,full_osl32k_qwen30_baseline,baseline,baseline,Qwen/Qwen3-30B-A3B,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs8_baseline_offset0_n8_isl4096_osl32768_bs8_20260612/slurm-2109250.out,0.0,149.8,8,0,16.0,2.2,,,,,0,,,,,,ok
2109269,full,qwen30,full_osl32k_qwen30_baseline,baseline,baseline,Qwen/Qwen3-30B-A3B,16,4096,32768,16,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs16_baseline_offset0_n16_isl4096_osl32768_bs16_20260612/slurm-2109269.out,0.0,308.6,16,0,49.3,3.4,,,,,0,,,,,,ok
2109288,full,qwen30,full_osl32k_qwen30_baseline,baseline,baseline,Qwen/Qwen3-30B-A3B,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs32_baseline_offset0_n32_isl4096_osl32768_bs32_20260612/slurm-2109288.out,,,,,,,,,,,0,,,,,srun: error: lyris0140: task 0: Exited with exit code 1,ok
2109375,full,qwen30,full_osl32k_qwen30_baseline,baseline,baseline,Qwen/Qwen3-30B-A3B,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs32_baseline_offset0_n32_isl4096_osl32768_bs32_20260612_lowmbt/slurm-2109375.out,0.0,599.9,32,0,19.8,3.5,,,,,0,,,,,,ok
2109241,full,qwen30,full_osl32k_qwen30_pard_k5,pard,pard_k5,Qwen/Qwen3-30B-A3B,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs4_pard_offset0_n4_isl4096_osl32768_bs4_k5_20260612/slurm-2109241.out,0.0,22.5,1,0,8.0,1.7,35.6,2.78,14.43,40.53,0,,,,,,ok
2109252,full,qwen30,full_osl32k_qwen30_pard_k5,pard,pard_k5,Qwen/Qwen3-30B-A3B,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs8_pard_offset0_n8_isl4096_osl32768_bs8_k5_20260612/slurm-2109252.out,0.0,99.2,5,0,43.7,2.2,29.4,2.47,59.07,200.68,0,,,,,,ok
2109272,full,qwen30,full_osl32k_qwen30_pard_k5,pard,pard_k5,Qwen/Qwen3-30B-A3B,16,4096,32768,16,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs16_pard_offset0_n16_isl4096_osl32768_bs16_k5_20260612/slurm-2109272.out,0.0,204.6,7,7,96.6,3.4,47.0,3.35,143.56,305.15,0,,,,,,ok
2109291,full,qwen30,full_osl32k_qwen30_pard_k5,pard,pard_k5,Qwen/Qwen3-30B-A3B,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs32_pard_offset0_n32_isl4096_osl32768_bs32_k5_20260612/slurm-2109291.out,,,,,,,,,,,0,,,,,srun: error: lyris0027: task 0: Exited with exit code 1,ok
2109380,full,qwen30,full_osl32k_qwen30_pard_k5,pard,pard_k5,Qwen/Qwen3-30B-A3B,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs32_pard_offset0_n32_isl4096_osl32768_bs32_k5_20260612_lowmbt/slurm-2109380.out,0.0,1341.8,28,4,99.3,3.5,67.8,4.39,1036.20,1528.11,0,,,,,,ok
2109240,full,qwen30,full_osl32k_qwen30_suffix_k32,suffix,suffix_k32,Qwen/Qwen3-30B-A3B,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs4_suffix_offset0_n4_isl4096_osl32768_bs4_k32_arctic_20260612/slurm-2109240.out,0.0,325.8,2,0,7.0,50.6,97.9,12.64,300.07,306.57,1,4,595.65,220.050,0.0,,ok
2109251,full,qwen30,full_osl32k_qwen30_suffix_k32,suffix,suffix_k32,Qwen/Qwen3-30B-A3B,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs8_suffix_offset0_n8_isl4096_osl32768_bs8_k32_arctic_20260612/slurm-2109251.out,0.0,333.5,1,0,4.4,50.8,96.2,12.45,307.86,320.12,1,8,1010.10,259.522,0.0,,ok
2109270,full,qwen30,full_osl32k_qwen30_suffix_k32,suffix,suffix_k32,Qwen/Qwen3-30B-A3B,16,4096,32768,16,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs16_suffix_offset0_n16_isl4096_osl32768_bs16_k32_arctic_20260612/slurm-2109270.out,0.0,855.9,5,0,31.1,33.6,98.3,12.72,789.04,802.66,0,,,,,,ok
