job_id,model,method,target_model,draft_model,num_speculative_tokens,max_steps,max_new_tokens,min_tokens,num_nodes,gpus_per_node,train_global_batch_size,run_id,queue_state,acct_state,exit_code,elapsed,node,runtime,reason,base_log_dir,tracker_file
2109942,qwen235b,eagle3,Qwen/Qwen3-235B-A22B,nvidia/Qwen3-235B-A22B-Eagle3,3,10,1024,512,32,4,256,20260613_nemorl_integrated_specdec_step10,,CANCELLED by 2001147693,0:0,00:00:00,None assigned,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl-integrated-specdec-logs/20260613_nemorl_integrated_specdec_step10/qwen235b_eagle3,latest_lyris_nemorl_integrated_specdec_maxsteps10_20260613_jobs.csv
2109940,qwen235b,pard,Qwen/Qwen3-235B-A22B,amd/PARD-Qwen3-0.6B,5,10,1024,512,32,4,256,20260613_nemorl_integrated_specdec_step10,,CANCELLED by 2001147693,0:0,00:00:00,None assigned,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl-integrated-specdec-logs/20260613_nemorl_integrated_specdec_step10/qwen235b_pard,latest_lyris_nemorl_integrated_specdec_maxsteps10_20260613_jobs.csv
2109939,qwen235b,suffix,Qwen/Qwen3-235B-A22B,,32,10,1024,512,32,4,256,20260613_nemorl_integrated_specdec_step10,,CANCELLED by 2001147693,0:0,00:00:00,None assigned,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl-integrated-specdec-logs/20260613_nemorl_integrated_specdec_step10/qwen235b_suffix,latest_lyris_nemorl_integrated_specdec_maxsteps10_20260613_jobs.csv
2109935,qwen30ba3b,eagle3,Qwen/Qwen3-30B-A3B,RedHatAI/Qwen3-30B-A3B-Thinking-2507-speculator.eagle3,3,10,1024,512,4,4,512,20260613_nemorl_integrated_specdec_step10,,FAILED,1:0,00:01:07,"lyris[0217,0221,0226-0227]",,,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl-integrated-specdec-logs/20260613_nemorl_integrated_specdec_step10/qwen30ba3b_eagle3,latest_lyris_nemorl_integrated_specdec_maxsteps10_20260613_jobs.csv
2109934,qwen30ba3b,pard,Qwen/Qwen3-30B-A3B,amd/PARD-Qwen3-0.6B,5,10,1024,512,4,4,512,20260613_nemorl_integrated_specdec_step10,,FAILED,1:0,00:01:07,"lyris[0061,0065,0068-0069]",,,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl-integrated-specdec-logs/20260613_nemorl_integrated_specdec_step10/qwen30ba3b_pard,latest_lyris_nemorl_integrated_specdec_maxsteps10_20260613_jobs.csv
2109933,qwen30ba3b,suffix,Qwen/Qwen3-30B-A3B,,32,10,1024,512,4,4,512,20260613_nemorl_integrated_specdec_step10,,FAILED,1:0,00:01:08,"lyris[0217,0221,0226-0227]",,,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl-integrated-specdec-logs/20260613_nemorl_integrated_specdec_step10/qwen30ba3b_suffix,latest_lyris_nemorl_integrated_specdec_maxsteps10_20260613_jobs.csv
2109938,qwen32,eagle3,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,3,10,1024,512,4,4,512,20260613_nemorl_integrated_specdec_step10,,CANCELLED by 2001147693,0:0,00:00:15,"lyris[0056,0059,0061,0065]",,,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl-integrated-specdec-logs/20260613_nemorl_integrated_specdec_step10/qwen32_eagle3,latest_lyris_nemorl_integrated_specdec_maxsteps10_20260613_jobs.csv
2109937,qwen32,pard,Qwen/Qwen3-32B,amd/PARD-Qwen3-0.6B,5,10,1024,512,4,4,512,20260613_nemorl_integrated_specdec_step10,,CANCELLED by 2001147693,0:0,00:00:15,"lyris[0217,0219,0221,0226]",,,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl-integrated-specdec-logs/20260613_nemorl_integrated_specdec_step10/qwen32_pard,latest_lyris_nemorl_integrated_specdec_maxsteps10_20260613_jobs.csv
2109936,qwen32,suffix,Qwen/Qwen3-32B,,32,10,1024,512,4,4,512,20260613_nemorl_integrated_specdec_step10,,CANCELLED by 2001147693,0:0,00:00:15,"lyris[0273,0279,0282,0285]",,,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl-integrated-specdec-logs/20260613_nemorl_integrated_specdec_step10/qwen32_suffix,latest_lyris_nemorl_integrated_specdec_maxsteps10_20260613_jobs.csv
2110003,qwen235b,eagle3,Qwen/Qwen3-235B-A22B,nvidia/Qwen3-235B-A22B-Eagle3,3,10,1024,512,32,4,256,20260613_nemorl_integrated_specdec_step10_raymatch,,FAILED,1:0,00:25:41,"lyris[0199-0206,0208-0209,0211-0216,0235-0239,0241,0243-0252]",,,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl-integrated-specdec-logs/20260613_nemorl_integrated_specdec_step10_raymatch/qwen235b_eagle3,latest_lyris_nemorl_integrated_specdec_maxsteps10_20260613_raymatch_jobs.csv
2110002,qwen235b,pard,Qwen/Qwen3-235B-A22B,amd/PARD-Qwen3-0.6B,5,10,1024,512,32,4,256,20260613_nemorl_integrated_specdec_step10_raymatch,,FAILED,1:0,00:26:03,"lyris[0253,0255-0268,0270-0273,0276-0288]",,,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl-integrated-specdec-logs/20260613_nemorl_integrated_specdec_step10_raymatch/qwen235b_pard,latest_lyris_nemorl_integrated_specdec_maxsteps10_20260613_raymatch_jobs.csv
2110001,qwen235b,suffix,Qwen/Qwen3-235B-A22B,,32,10,1024,512,32,4,256,20260613_nemorl_integrated_specdec_step10_raymatch,,FAILED,1:0,00:25:51,"lyris[0037-0041,0043-0045,0047-0054,0235-0239,0241,0243-0252]",,,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl-integrated-specdec-logs/20260613_nemorl_integrated_specdec_step10_raymatch/qwen235b_suffix,latest_lyris_nemorl_integrated_specdec_maxsteps10_20260613_raymatch_jobs.csv
2109992,qwen30ba3b,eagle3,Qwen/Qwen3-30B-A3B,RedHatAI/Qwen3-30B-A3B-Thinking-2507-speculator.eagle3,3,10,1024,512,4,4,512,20260613_nemorl_integrated_specdec_step10_raymatch,,FAILED,1:0,00:23:24,"lyris[0217,0219-0221]",,,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl-integrated-specdec-logs/20260613_nemorl_integrated_specdec_step10_raymatch/qwen30ba3b_eagle3,latest_lyris_nemorl_integrated_specdec_maxsteps10_20260613_raymatch_jobs.csv
