method,primary_source,implementation_source,public_status,local_qwen235b_evidence,decision
PARD,https://arxiv.org/abs/2504.18583,https://github.com/AMD-AGI/PARD ; https://docs.vllm.ai/en/v0.20.0/features/speculative_decoding/parallel_draft_model/,Actionable now: vLLM supports draft_model + parallel_drafting with amd/PARD-Qwen3-0.6B.,NeMo-RL Full-GRPO public PARD K3 is now positive in the clean non-colocated TP4 branch: fixed256 step2-5 gives 1.421x total-step and 1.887x generation-time speedup; fixed1024 step2-3 gives 1.580x total-step and 1.797x generation-time speedup under vLLM 0.20.0.,"Keep as the validated runtime substrate and public Qwen3-235B baseline; next evidence gate is longer/decode-heavy output, not another fixed256 rerun."
PARD-2 / CAT,https://arxiv.org/abs/2605.08632,https://github.com/AMD-AGI/PARD,"Paper is public; official code/checkpoints are not exposed in AMD-AGI/PARD at HEAD 77eee0a12a729aaa4cc38b2a30fd544e11a8173b, rechecked 2026-06-08.",Local CAT/D-PACE approximations remain useful for objective work: best vLLM OpenMath local D-PACE K5 1.296x; NeMo-RL sync D-PACE K3 1.454x. These are not official PARD-2 checkpoints.,"Continue local PARD-2-style objective work, but label it as an approximation."
DFlash,https://arxiv.org/abs/2602.06036,https://docs.vllm.ai/projects/speculators/en/latest/user_guide/algorithms/dflash/,vLLM Speculators documents DFlash as a block-parallel draft model with active support.,"Runtime support was made to work, but current Qwen3-235B OpenMath checkpoint has only about 0.25-1.22% acceptance.",Do not spend NeMo-RL nodes until a better Qwen3-235B DFlash checkpoint exists.
P-EAGLE,https://arxiv.org/abs/2602.01469,https://docs.vllm.ai/projects/speculators/en/latest/user_guide/algorithms/peagle/,"vLLM Speculators documents the method, but reports no pretrained P-EAGLE models.",No Qwen3-235B P-EAGLE checkpoint or NeMo-RL result in the current stack.,Secondary training branch after PARD-2-style full-GRPO evidence lands.
Speculators Eagle-3,https://docs.vllm.ai/projects/speculators/en/latest/user_guide/algorithms/decision_guide/,https://docs.vllm.ai/projects/speculators/en/latest/,Most mature Speculators algorithm per the decision guide.,Public EAGLE3 did not solve Qwen3-235B benefit; earlier Qwen3-32B/30BA3B were more favorable.,"Keep as baseline context, not the primary Qwen3-235B fix."
SpecForge / SpecBundle,https://arxiv.org/abs/2603.18567,https://github.com/sgl-project/specforge,Open-source training framework and draft-model bundle direction; paper explicitly targets scalable EAGLE-3 training including Qwen3-235B-A22B.,"Useful as a training-infra reference, but current local Qwen3-235B benefit work is PARD/PARD-2-style in vLLM/NeMo-RL, not SGLang EAGLE-3.",Track as the strongest EAGLE-3 retraining reference if PARD-style Full-GRPO E2E remains weak.
Nightjar,https://arxiv.org/abs/2512.22420,No local drop-in implementation; the deployed NeMo-RL runtime batch gate is a static systems approximation.,Public arXiv method for load-aware adaptive speculative length and disabling speculation when load makes it unprofitable.,"Directly matches the Qwen3-235B high-batch question. Runtime gate smoke 3212586 proved the patched vLLM scheduler can disable speculation at requests=32 with request_threshold=16; performance-valid retry is 3212702.",Keep as the systems-policy direction for dynamic K/load-aware gating. Do not claim Nightjar itself is implemented; we currently have only static request/token gating.
TETRIS,https://arxiv.org/abs/2502.15197,No local vLLM/NeMo-RL implementation.,Public 2025 batch speculative-decoding method that selects promising draft tokens across requests instead of assigning the same fixed draft depth to every request.,"Direct fit for GBS512: Qwen3-235B batches have heterogeneous acceptance, and fixed K can waste verifier capacity on low-probability later draft positions.",Use as the conceptual target for an offline simulator over logged PARD draft/acceptance traces before changing vLLM token packing.
FASER,https://arxiv.org/abs/2604.20503,"Paper reports a vLLM prototype, but no local drop-in implementation is present.","Public 2026 serving-system method with per-request speculative length, early pruning during verification, and draft/verify overlap.","Strong systems fit for high-batch Qwen3-235B if static K5 helps generation but E2E is still limited by wasted verification/draft serialization.","Track as the deeper systems target after the current static gate and simple dynamic-K controller; do not claim implemented."
BanditSpec,https://arxiv.org/abs/2505.15141,No local implementation.,Training-free online bandit controller for speculative-decoding hyperparameters.,Practical controller layer for choosing among K values once K3/K5/K8 standalone and NeMo-RL evidence is complete.,"Start with a simpler bucketed controller: reward = accepted tokens/sec minus draft/verify waste, segmented by active batch and prompt/domain bucket."
