job_id,cluster,state,model,mode,method,config,max_steps,max_osl,temperature,top_p,enforce_eager,segment,num_nodes,gpus_per_node,code_commit,wandb_project,wandb_run,notes
2317876,pretyche,CANCELLED_INVALID,Qwen3-235B-A22B,async-1off,baseline,examples/configs/recipes/llm/performance/grpo-qwen3-235b-32n4g-async-1off.yaml,20,8192,1.0,1.0,false,8,16,4,d4cfecf90db41cdf142629963b54b67ab479ab02,sna-pr3030-q235-gb200,https://wandb.ai/nvidia/sna-pr3030-q235-gb200/runs/qts8yxji,"Cancelled after steps 2-4 produced gibberish rollouts, reward=0, and generation KL approximately 5.28; branch lacked the validated PR2879 reconciliation."
2317877,pretyche,CANCELLED_INVALID,Qwen3-235B-A22B,async-1off,baseline,examples/configs/recipes/llm/performance/grpo-qwen3-235b-32n4g-async-1off.yaml,20,8192,1.0,1.0,false,8,16,4,d4cfecf90db41cdf142629963b54b67ab479ab02,sna-pr3030-q235-gb200,https://wandb.ai/nvidia/sna-pr3030-q235-gb200/runs/sosqf15h,"Cancelled after steps 2-3 produced gibberish rollouts, reward=0, and generation KL approximately 5.24; branch lacked the validated PR2879 reconciliation."
2317878,pretyche,CANCELLED_BEFORE_START,Qwen3-235B-A22B,sync,baseline,examples/configs/recipes/llm/performance/grpo-qwen3-235b-32n4g.yaml,20,8192,1.0,1.0,false,16,32,4,d4cfecf90db41cdf142629963b54b67ab479ab02,sna-pr3030-q235-gb200,,"Cancelled while pending because the same branch produced invalid async rollouts."
2318027,pretyche,TEST_ONLY,Qwen3-235B-A22B,sync,baseline,examples/configs/recipes/llm/performance/grpo-qwen3-235b-32n4g.yaml,1,8192,1.0,1.0,false,16,32,4,1271b1530181a7378e40de40b4b46ad223e6596c,sna-nemorl-specdec-pretyche,,"Scheduler preflight passed; predicted start 2026-07-02 03:45 PDT."
2318028,pretyche,COMPLETED_CORRECTNESS_METRICS,Qwen3-235B-A22B,sync,baseline,examples/configs/recipes/llm/performance/grpo-qwen3-235b-32n4g.yaml,1,8192,1.0,1.0,false,16,32,4,1271b1530181a7378e40de40b4b46ad223e6596c,sna-nemorl-specdec-pretyche,https://wandb.ai/nvidia/sna-nemorl-specdec-pretyche/runs/3brxki7d,"Completed Step 1 with SLURM exit 0:0 and zero parsed step errors. E2E time 348.19s, generation time 161.62s, E2E throughput 70.31 tok/s/GPU, generation throughput 151.46 tok/s/GPU, mean generation length 6020.24, reward 0.6465, and generation KL 0.0056. The performance recipe sets num_val_samples_to_print=0 and did not persist rollout text, so readable-text inspection remains an explicit follow-up before expanding this Pretyche cohort."
2318034,pretyche,TEST_ONLY,Qwen3-235B-A22B,async-1off,baseline,examples/configs/recipes/llm/performance/grpo-qwen3-235b-32n4g-async-1off.yaml,1,8192,1.0,1.0,false,8,16,4,1271b1530181a7378e40de40b4b46ad223e6596c,sna-nemorl-specdec-pretyche,,"Scheduler preflight passed for the scaled 8-train-node plus 8-generation-node correctness smoke; predicted start 2026-07-02 03:43 PDT."
2318035,pretyche,FAILED_POLICY_LOGPROB_NCCL,Qwen3-235B-A22B,async-1off,baseline,examples/configs/recipes/llm/performance/grpo-qwen3-235b-32n4g-async-1off.yaml,1,8192,1.0,1.0,false,8,16,4,1271b1530181a7378e40de40b4b46ad223e6596c,sna-nemorl-specdec-pretyche,https://wandb.ai/nvidia/sna-nemorl-specdec-pretyche/runs/6gfijocx,"FAILED 1:0 after 1:40:13. Rollout generation completed 512 trajectories with reward mean 0.6484, then get_reference_policy_logprobs stalled in Megatron MoE token dispatch. The first confirmed failure was a 600-second EXPERT_MODEL_PARALLEL_GROUP ALLTOALL_BASE timeout; TP/PP/default-group timeouts and Ray actor deaths followed. The 16-node correctness-only scaling used two segment-8 placements, while the eight active policy nodes were observed split four per segment, so this run is performance-invalid and topology placement is the leading root-cause hypothesis pending code audit. No total-step or generation-KL metric was produced."
2318301,pretyche,TEST_ONLY_TOPOLOGY_RETRY,Qwen3-235B-A22B,async-1off,baseline,examples/configs/recipes/llm/performance/grpo-qwen3-235b-32n4g-async-1off.yaml,1,8192,1.0,1.0,false,8,16,4,1271b1530181a7378e40de40b4b46ad223e6596c,sna-nemorl-specdec-pretyche,,"Scheduler test-only accepted the minimal topology retry. The retry preserves every 2318035 runtime override and adds only cluster.segment_size=8 so PR2879 can reserve all eight policy nodes in one NVLink domain."
2318302,pretyche,CANCELLED_DATASET_CACHE_LOCAL,Qwen3-235B-A22B,async-1off,baseline,examples/configs/recipes/llm/performance/grpo-qwen3-235b-32n4g-async-1off.yaml,1,8192,1.0,1.0,false,8,16,4,1271b1530181a7378e40de40b4b46ad223e6596c,sna-nemorl-specdec-pretyche,https://wandb.ai/nvidia/sna-nemorl-specdec-pretyche/runs/s7v5u5pi,"Topology gate passed with eight policy nodes in one NVLink domain and eight inference nodes separately placed. Cancelled after AsyncTrajectoryCollector failed to deserialize the Hugging Face Dataset because its memory-mapped Arrow file referenced driver-local /tmp; the retry must force HF_HOME and HF_DATASETS_CACHE onto shared Lustre. Correctness-only and performance-invalid due the scaled 16-node shape."
2318342,pretyche,TEST_ONLY_SHARED_HF_RETRY,Qwen3-235B-A22B,async-1off,baseline,examples/configs/recipes/llm/performance/grpo-qwen3-235b-32n4g-async-1off.yaml,1,8192,1.0,1.0,false,8,16,4,1271b1530181a7378e40de40b4b46ad223e6596c,sna-nemorl-specdec-pretyche,,"Scheduler preflight accepted the topology-aware retry with explicit shared Lustre HF_HOME and HF_DATASETS_CACHE."
