label,domain,temperature,top_p,top_k,tag,model,method,k,prompt_jsonl,prompt_offset,prompt_count_loaded,prompt_count_used,num_batches,batch_size,isl,osl,tp,pp,total_gpus,spec_active,spec_method,parallel_drafting,num_speculative_tokens,draft_model,latency_s,mean_latency_s,output_tok_s,output_tok_s_per_gpu,speedup_vs_baseline,metrics_available,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,num_drafts,num_draft_tokens,num_accepted_tokens,acceptance_rate_by_position_pct,breakdown_json,source
oci_qwen8_math_t00_baseline,math,0.0,1.0,-1,qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof_baseline,Qwen/Qwen3-8B,baseline,0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_20260613.jsonl,0,4,4,4,1,4096,32768,1,1,1,False,,,,,3158.7728438479826,789.6932109619956,41.49459504670476,41.49459504670476,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/baseline/breakdown.json,breakdown_json
oci_qwen8_math_t00_pard3,math,0.0,1.0,-1,qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof_pard_k3,Qwen/Qwen3-8B,pard,3,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_20260613.jsonl,0,4,4,4,1,4096,32768,1,1,1,False,,,,,2783.5707859919057,695.8926964979764,47.08771936377879,47.08771936377879,1.1347916351702823,True,62.28033701717912,2.8684101105153736,1.8684101105153736,45695,137085,85377,"79.8468,64.1514,42.8428",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k3/breakdown.json,breakdown_json
oci_qwen8_math_t00_pard5,math,0.0,1.0,-1,qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof_pard_k5,Qwen/Qwen3-8B,pard,5,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_20260613.jsonl,0,4,4,4,1,4096,32768,1,1,1,False,,,,,2573.0742007920053,643.2685501980013,50.93984462618893,50.93984462618893,1.227626021385507,True,43.66272433640139,3.1831362168200696,2.1831362168200696,41177,205885,89895,"78.5050,61.2624,37.6351,23.0128,17.8983",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k5/breakdown.json,breakdown_json
oci_qwen8_math_t00_baseline,math,0.0,1.0,-1,qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof_baseline,Qwen/Qwen3-8B,baseline,0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_20260613.jsonl,0,4,4,2,2,4096,32768,1,1,1,False,,,,,1558.518786938046,779.259393469023,84.10036574375304,84.10036574375304,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/baseline/breakdown.json,breakdown_json
oci_qwen8_math_t00_pard3,math,0.0,1.0,-1,qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof_pard_k3,Qwen/Qwen3-8B,pard,3,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_20260613.jsonl,0,4,4,2,2,4096,32768,1,1,1,False,,,,,1662.3410016419948,831.1705008209974,78.84784161043507,78.84784161043507,0.9375445744276311,True,66.76594802239177,3.002978440671753,2.002978440671753,43647,130941,87424,"82.5074,68.7928,48.9976",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k3/breakdown.json,breakdown_json
oci_qwen8_math_t00_pard5,math,0.0,1.0,-1,qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof_pard_k5,Qwen/Qwen3-8B,pard,5,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_20260613.jsonl,0,4,4,2,2,4096,32768,1,1,1,False,,,,,1454.9396651640418,727.4698325820209,90.0875844808464,90.0875844808464,1.0711913519536398,True,48.75780307401773,3.4378901537008866,2.4378901537008866,38126,190630,92947,"79.8091,69.9628,42.0658,30.1264,21.8250",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k5/breakdown.json,breakdown_json
oci_qwen8_math_t10_baseline,math,1.0,1.0,-1,qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof_baseline,Qwen/Qwen3-8B,baseline,0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_20260613.jsonl,0,4,4,4,1,4096,32768,1,1,1,False,,,,,3135.484060296905,783.8710150742263,41.80279582974137,41.80279582974137,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/baseline/breakdown.json,breakdown_json
oci_qwen8_math_t10_pard3,math,1.0,1.0,-1,qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof_pard_k3,Qwen/Qwen3-8B,pard,3,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_20260613.jsonl,0,4,4,4,1,4096,32768,1,1,1,False,,,,,3410.3579932511784,852.5894983127946,38.433501778810566,38.433501778810566,0.9194002701481115,True,47.578305369334664,2.42734916108004,1.42734916108004,53998,161994,77074,"65.6247,46.3147,30.7956",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k3/breakdown.json,breakdown_json
oci_qwen8_math_t10_pard5,math,1.0,1.0,-1,qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof_pard_k5,Qwen/Qwen3-8B,pard,5,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_20260613.jsonl,0,4,4,4,1,4096,32768,1,1,1,False,,,,,2522.767080293037,630.6917700732592,51.95564863038211,51.95564863038211,1.2428749704204545,True,46.31083679044824,3.315541839522412,2.315541839522412,39532,197660,91538,"81.1722,62.0864,39.0747,28.9689,20.2519",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k5/breakdown.json,breakdown_json
oci_qwen8_math_t10_baseline,math,1.0,1.0,-1,qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof_baseline,Qwen/Qwen3-8B,baseline,0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_20260613.jsonl,0,4,4,2,2,4096,32768,1,1,1,False,,,,,1565.2336935880594,782.6168467940297,83.73957226766403,83.73957226766403,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/baseline/breakdown.json,breakdown_json
