job_id,domain,model_group,k,temperature,batch_size,method,isl,osl,logs_dir,source
3457194,math,qwen235b,3,0.0,1,pard2,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen235b_math500_osl32k_pard2_t00_offset0_n1_isl4096_osl32768_bs1_k3_20260620_qmath_pard2_ksweep_qwen235b_k3,original
3457197,math,qwen235b,3,0.0,2,pard2,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen235b_math500_osl32k_pard2_t00_offset0_n2_isl4096_osl32768_bs2_k3_20260620_qmath_pard2_ksweep_qwen235b_k3,original
3457199,math,qwen235b,3,0.0,4,pard2,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen235b_math500_osl32k_pard2_t00_offset0_n4_isl4096_osl32768_bs4_k3_20260620_qmath_pard2_ksweep_qwen235b_k3,original
3457201,math,qwen235b,3,0.0,8,pard2,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen235b_math500_osl32k_pard2_t00_offset0_n8_isl4096_osl32768_bs8_k3_20260620_qmath_pard2_ksweep_qwen235b_k3,original
3457203,math,qwen235b,3,0.0,16,pard2,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen235b_math500_osl32k_pard2_t00_offset0_n16_isl4096_osl32768_bs16_k3_20260620_qmath_pard2_ksweep_qwen235b_k3,original
3457205,math,qwen235b,3,0.0,32,pard2,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen235b_math500_osl32k_pard2_t00_offset0_n32_isl4096_osl32768_bs32_k3_20260620_qmath_pard2_ksweep_qwen235b_k3,original
3457207,math,qwen235b,3,1.0,1,pard2,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen235b_math500_osl32k_pard2_t10_offset0_n1_isl4096_osl32768_bs1_k3_20260620_qmath_pard2_ksweep_qwen235b_k3,original
3457209,math,qwen235b,3,1.0,2,pard2,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen235b_math500_osl32k_pard2_t10_offset0_n2_isl4096_osl32768_bs2_k3_20260620_qmath_pard2_ksweep_qwen235b_k3,original
3457211,math,qwen235b,3,1.0,4,pard2,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen235b_math500_osl32k_pard2_t10_offset0_n4_isl4096_osl32768_bs4_k3_20260620_qmath_pard2_ksweep_qwen235b_k3,original
3457213,math,qwen235b,3,1.0,8,pard2,4096,32768,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen235b_math500_osl32k_pard2_t10_offset0_n8_isl4096_osl32768_bs8_k3_20260620_qmath_pard2_ksweep_qwen235b_k3,original
