label,tag,model,prompt_jsonl,prompt_offset,prompt_count_loaded,prompt_count_used,num_batches,batch_size,isl,osl,tp,pp,total_gpus,spec_active,spec_method,parallel_drafting,num_speculative_tokens,draft_model,latency_s,mean_latency_s,output_tok_s,output_tok_s_per_gpu,speedup_vs_baseline,metrics_available,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,num_drafts,num_draft_tokens,num_accepted_tokens,acceptance_rate_by_position_pct,breakdown_json
qwen14_lite_baseline,qwen3_14b_swebench_lite_baseline_offset0_n64_isl4096_osl1024_bs4_8_20260611_publicpard2,Qwen/Qwen3-14B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_lite_prompts_64.jsonl,0,8,8,2,4,4096,1024,1,1,1,False,,,,,59.46709311599989,29.733546557999944,137.75685964706935,137.75685964706935,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_14b_swebench_lite_baseline_offset0_n64_isl4096_osl1024_bs4_8_20260611_publicpard2/breakdown.json
qwen14_lite_pard2,qwen3_14b_swebench_lite_pard2_offset0_n64_isl4096_osl1024_bs4_8_k5_20260611_publicpard2,Qwen/Qwen3-14B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_lite_prompts_64.jsonl,0,8,8,2,4,4096,1024,1,1,1,True,draft_model,True,5,amd/PARD2-Qwen3-14B,75.32111286999998,37.66055643499999,108.76100588342253,108.76100588342253,0.7895142656566527,True,18.022284122562674,1.9011142061281339,0.9011142061281338,4308,21540,3882,"36.5599,20.6592,14.3686,10.5153,8.0084",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_14b_swebench_lite_pard2_offset0_n64_isl4096_osl1024_bs4_8_k5_20260611_publicpard2/breakdown.json
qwen14_lite_baseline,qwen3_14b_swebench_lite_baseline_offset0_n64_isl4096_osl1024_bs4_8_20260611_publicpard2,Qwen/Qwen3-14B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_lite_prompts_64.jsonl,0,8,8,1,8,4096,1024,1,1,1,False,,,,,34.377999538999575,34.377999538999575,238.2919340814673,238.2919340814673,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_14b_swebench_lite_baseline_offset0_n64_isl4096_osl1024_bs4_8_20260611_publicpard2/breakdown.json
qwen14_lite_pard2,qwen3_14b_swebench_lite_pard2_offset0_n64_isl4096_osl1024_bs4_8_k5_20260611_publicpard2,Qwen/Qwen3-14B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_lite_prompts_64.jsonl,0,8,8,1,8,4096,1024,1,1,1,True,draft_model,True,5,amd/PARD2-Qwen3-14B,43.61922132400014,43.61922132400014,187.8071123542181,187.8071123542181,0.7881387722087587,True,18.468404980032886,1.9234202490016443,0.9234202490016443,4257,21285,3931,"38.2899,21.5410,14.4468,10.6178,7.4466",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_14b_swebench_lite_pard2_offset0_n64_isl4096_osl1024_bs4_8_k5_20260611_publicpard2/breakdown.json
qwen8_lite_baseline,qwen3_8b_swebench_lite_baseline_offset0_n64_isl4096_osl1024_bs8_16_20260611_publicpard2,Qwen/Qwen3-8B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_lite_prompts_64.jsonl,0,16,16,2,8,4096,1024,1,1,1,False,,,,,66.75529162400198,33.37764581200099,245.43372669664294,245.43372669664294,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_8b_swebench_lite_baseline_offset0_n64_isl4096_osl1024_bs8_16_20260611_publicpard2/breakdown.json
qwen8_lite_pard2,qwen3_8b_swebench_lite_pard2_offset0_n64_isl4096_osl1024_bs8_16_k5_20260611_publicpard2,Qwen/Qwen3-8B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_lite_prompts_64.jsonl,0,16,16,2,8,4096,1024,1,1,1,True,draft_model,True,5,amd/PARD2-Qwen3-8B,69.53443654297735,34.76721827148867,235.6242577715215,235.6242577715215,0.9600321070084799,True,28.43505246046993,2.4217526230234965,1.4217526230234965,6767,33835,9621,"56.9381,34.8604,22.5654,16.2258,11.5856",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_8b_swebench_lite_pard2_offset0_n64_isl4096_osl1024_bs8_16_k5_20260611_publicpard2/breakdown.json
qwen8_lite_baseline,qwen3_8b_swebench_lite_baseline_offset0_n64_isl4096_osl1024_bs8_16_20260611_publicpard2,Qwen/Qwen3-8B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_lite_prompts_64.jsonl,0,16,16,1,16,4096,1024,1,1,1,False,,,,,28.600735200998315,28.600735200998315,572.8524069349138,572.8524069349138,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_8b_swebench_lite_baseline_offset0_n64_isl4096_osl1024_bs8_16_20260611_publicpard2/breakdown.json
qwen8_lite_pard2,qwen3_8b_swebench_lite_pard2_offset0_n64_isl4096_osl1024_bs8_16_k5_20260611_publicpard2,Qwen/Qwen3-8B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_lite_prompts_64.jsonl,0,16,16,1,16,4096,1024,1,1,1,True,draft_model,True,5,amd/PARD2-Qwen3-8B,35.81989138299832,35.81989138299832,457.3994885918766,457.3994885918766,0.7984595736259956,True,28.72846108140226,2.436423054070113,1.4364230540701128,6732,33660,9670,"57.4866,35.8289,22.8461,15.8942,11.5865",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_8b_swebench_lite_pard2_offset0_n64_isl4096_osl1024_bs8_16_k5_20260611_publicpard2/breakdown.json
qwen8_verified_long_baseline,qwen3_8b_swebench_verified_longosl16384_baseline_offset0_bs1_2_4_8_20260611_publicpard2,Qwen/Qwen3-8B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_verified_prompts_all.jsonl,0,8,8,8,1,4096,16384,1,1,1,False,,,,,3179.5775554680004,397.44719443350004,41.22308631050441,41.22308631050441,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_8b_swebench_verified_longosl16384_baseline_offset0_bs1_2_4_8_20260611_publicpard2/breakdown.json
qwen8_verified_long_pard2,qwen3_8b_swebench_verified_longosl16384_pard2_offset0_bs1_2_4_8_k5_20260611_publicpard2,Qwen/Qwen3-8B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_verified_prompts_all.jsonl,0,8,8,8,1,4096,16384,1,1,1,True,draft_model,True,5,amd/PARD2-Qwen3-8B,4124.118326219032,515.514790777379,31.781823321293032,31.781823321293032,0.7709714668596862,True,11.788360558324541,1.589418027916227,0.5894180279162271,82461,412305,48604,"25.9832,13.8029,9.0564,6.3145,3.7848",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_8b_swebench_verified_longosl16384_pard2_offset0_bs1_2_4_8_k5_20260611_publicpard2/breakdown.json
