label,tag,model,prompt_jsonl,prompt_offset,prompt_count_loaded,prompt_count_used,num_batches,batch_size,isl,osl,tp,pp,total_gpus,spec_active,spec_method,parallel_drafting,num_speculative_tokens,draft_model,latency_s,mean_latency_s,output_tok_s,output_tok_s_per_gpu,speedup_vs_baseline,metrics_available,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,num_drafts,num_draft_tokens,num_accepted_tokens,acceptance_rate_by_position_pct,breakdown_json
math_t00_qwen30ba3b_baseline_bs1_j2136607,qwen30ba3b_math500_osl32k_temp01_lyris_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_math_temp0_core_home_mount_qwen30ba3b,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,1,1,1,False,,,0,,6764.922947385989,1691.2307368464972,19.375239159323623,19.375239159323623,1.0,False,,,,,,,,/home/sna/vllm-runs/math_temp01_core_20260616_home_mount/qwen30ba3b_math500_osl32k_temp01_lyris_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_math_temp0_core_home_mount_qwen30ba3b/breakdown.json
math_t00_qwen30ba3b_baseline_bs2_j2136607,qwen30ba3b_math500_osl32k_temp01_lyris_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_math_temp0_core_home_mount_qwen30ba3b,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,2,2,4096,32768,1,1,1,False,,,0,,3361.229034468066,1680.614517234033,38.99525996470601,38.99525996470601,1.0,False,,,,,,,,/home/sna/vllm-runs/math_temp01_core_20260616_home_mount/qwen30ba3b_math500_osl32k_temp01_lyris_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_math_temp0_core_home_mount_qwen30ba3b/breakdown.json
math_t00_qwen30ba3b_eagle3_k3_bs1_j2135739,qwen30ba3b_math500_osl32k_temp01_lyris_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260616_math_temp0_core_home_qwen30ba3b,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,1,1,1,True,eagle3,,3,,6119.090857764939,1529.7727144412347,21.420175487944203,21.420175487944203,1.1055437980303087,True,10.087558015881692,1.3026267404764509,0.3026267404764508,100619,301857,30450,"16.6807,7.7222,5.8597",/home/sna/vllm-runs/math_temp01_core_20260616_home/qwen30ba3b_math500_osl32k_temp01_lyris_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260616_math_temp0_core_home_qwen30ba3b/breakdown.json
math_t00_qwen30ba3b_eagle3_k3_bs2_j2135739,qwen30ba3b_math500_osl32k_temp01_lyris_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260616_math_temp0_core_home_qwen30ba3b,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,2,2,4096,32768,1,1,1,True,eagle3,,3,,3217.8918951370288,1608.9459475685144,40.73225710225996,40.73225710225996,1.044543801967882,True,10.250092275769878,1.3075027682730964,0.30750276827309636,100243,300729,30825,"17.3728,7.5866,5.7909",/home/sna/vllm-runs/math_temp01_core_20260616_home/qwen30ba3b_math500_osl32k_temp01_lyris_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260616_math_temp0_core_home_qwen30ba3b/breakdown.json
math_t00_qwen30ba3b_pard_k3_bs1_j2139660,qwen30ba3b_math500_osl32k_temp01_lyris_publicpard_pard_offset0_n4_isl4096_osl32768_bs1_2_k3_20260616_math_temp01_project_qwen30ba3b_t00_publicpard_k3,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,1,1,1,True,pard,,3,,3516.609669597121,879.1524173992802,37.27226286533422,37.27226286533422,1.9237059506126566,True,70.67225290420872,3.1201675871262617,2.1201675871262617,42008,126024,89064,"88.7141,74.2073,49.0954",/project/coreai_dlalgo_llm/sna/vllm-runs/math_temp01_core_20260616_project_publicpard/qwen30ba3b_math500_osl32k_temp01_lyris_publicpard_pard_offset0_n4_isl4096_osl32768_bs1_2_k3_20260616_math_temp01_project_qwen30ba3b_t00_publicpard_k3/breakdown.json
math_t00_qwen30ba3b_pard_k5_bs1_j2139661,qwen30ba3b_math500_osl32k_temp01_lyris_publicpard_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260616_math_temp01_project_qwen30ba3b_t00_publicpard_k5,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,1,1,1,True,pard,,5,,3081.5725881049875,770.3931470262469,42.534127057705525,42.534127057705525,2.1952826856972,True,52.15435853678677,3.6077179268393382,2.6077179268393382,36331,181655,94741,"88.1589,74.2699,44.4441,30.8800,23.0189",/project/coreai_dlalgo_llm/sna/vllm-runs/math_temp01_core_20260616_project_publicpard/qwen30ba3b_math500_osl32k_temp01_lyris_publicpard_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260616_math_temp01_project_qwen30ba3b_t00_publicpard_k5/breakdown.json
math_t00_qwen30ba3b_suffix_k32_bs1_j2136609,qwen30ba3b_math500_osl32k_temp01_lyris_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260616_math_temp0_core_home_mount_qwen30ba3b,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,1,1,1,True,suffix,,32,,915.3520842550206,228.83802106375515,143.19298798196962,143.19298798196962,7.390514604980411,True,88.43495145631069,7.845427764083449,6.845427764083449,16633,128750,113860,"72.6568,62.6886,58.5883,56.6224,55.6664,55.0111,54.8007,54.0191,53.8989,53.6704,53.5502,53.3698,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/home/sna/vllm-runs/math_temp01_core_20260616_home_mount/qwen30ba3b_math500_osl32k_temp01_lyris_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260616_math_temp0_core_home_mount_qwen30ba3b/breakdown.json
math_t00_qwen30ba3b_suffix_k32_bs2_j2136609,qwen30ba3b_math500_osl32k_temp01_lyris_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260616_math_temp0_core_home_mount_qwen30ba3b,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,2,2,4096,32768,1,1,1,True,suffix,,32,,486.83226958999876,243.41613479499938,269.23441231696995,269.23441231696995,6.904285612165421,True,88.75055308890619,8.961675335340816,7.961675335340816,14612,131082,116336,"80.6803,72.9127,68.9639,66.7465,65.5215,64.4539,63.9474,63.3520,62.9893,62.5992,62.2639,61.7369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/home/sna/vllm-runs/math_temp01_core_20260616_home_mount/qwen30ba3b_math500_osl32k_temp01_lyris_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260616_math_temp0_core_home_mount_qwen30ba3b/breakdown.json
math_t00_qwen8_baseline_bs1_j2136605,qwen8_math500_osl32k_temp01_lyris_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_math_temp0_core_home_mount_qwen8,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,1,1,1,False,,,0,,3523.17746656097,880.7943666402425,37.202781081573356,37.202781081573356,1.0,False,,,,,,,,/home/sna/vllm-runs/math_temp01_core_20260616_home_mount/qwen8_math500_osl32k_temp01_lyris_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_math_temp0_core_home_mount_qwen8/breakdown.json
math_t00_qwen8_baseline_bs2_j2136605,qwen8_math500_osl32k_temp01_lyris_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_math_temp0_core_home_mount_qwen8,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,2,2,4096,32768,1,1,1,False,,,0,,1762.5935691249906,881.2967845624953,74.36314434363246,74.36314434363246,1.0,False,,,,,,,,/home/sna/vllm-runs/math_temp01_core_20260616_home_mount/qwen8_math500_osl32k_temp01_lyris_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_math_temp0_core_home_mount_qwen8/breakdown.json
math_t00_qwen8_eagle3_k3_bs1_j2136610,qwen8_math500_osl32k_temp01_lyris_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260616_math_temp0_core_home_mount_qwen8,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,1,1,1,True,eagle3,,3,,1795.2663267570315,448.8165816892579,73.00978024623701,73.00978024623701,1.9624817855995977,True,62.939050724957035,2.8881715217487107,1.888171521748711,45382,136146,85689,"76.9997,61.7095,50.1080",/home/sna/vllm-runs/math_temp01_core_20260616_home_mount/qwen8_math500_osl32k_temp01_lyris_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260616_math_temp0_core_home_mount_qwen8/breakdown.json
math_t00_qwen8_eagle3_k3_bs2_j2136610,qwen8_math500_osl32k_temp01_lyris_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260616_math_temp0_core_home_mount_qwen8,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,2,2,4096,32768,1,1,1,True,eagle3,,3,,1123.6702135860687,561.8351067930344,116.64632417522066,116.64632417522066,1.5686039798989324,True,63.61625799770702,2.9084877399312106,1.9084877399312106,45065,135195,86006,"77.7322,62.9535,50.1631",/home/sna/vllm-runs/math_temp01_core_20260616_home_mount/qwen8_math500_osl32k_temp01_lyris_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260616_math_temp0_core_home_mount_qwen8/breakdown.json
math_t00_qwen8_pard_k3_bs1_j2139656,qwen8_math500_osl32k_temp01_lyris_publicpard_pard_offset0_n4_isl4096_osl32768_bs1_2_k3_20260616_math_temp01_project_qwen8_t00_publicpard_k3,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,1,1,1,True,pard,,3,,3432.106826315052,858.026706578763,38.189953469696626,38.189953469696626,1.0265349083972708,True,50.69428417570583,2.520828525271175,1.5208285252711746,51996,155988,79077,"67.1667,50.4423,34.4738",/project/coreai_dlalgo_llm/sna/vllm-runs/math_temp01_core_20260616_project_publicpard/qwen8_math500_osl32k_temp01_lyris_publicpard_pard_offset0_n4_isl4096_osl32768_bs1_2_k3_20260616_math_temp01_project_qwen8_t00_publicpard_k3/breakdown.json
math_t00_qwen8_pard_k5_bs1_j2139657,qwen8_math500_osl32k_temp01_lyris_publicpard_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260616_math_temp01_project_qwen8_t00_publicpard_k5,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,1,1,1,True,pard,,5,,3240.6357017240953,810.1589254310238,40.44638523554702,40.44638523554702,1.0871871419198882,True,34.521442535668236,2.7260721267834116,1.7260721267834116,48082,240410,82993,"64.8725,47.8474,30.5353,16.7027,12.6492",/project/coreai_dlalgo_llm/sna/vllm-runs/math_temp01_core_20260616_project_publicpard/qwen8_math500_osl32k_temp01_lyris_publicpard_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260616_math_temp01_project_qwen8_t00_publicpard_k5/breakdown.json
math_t00_qwen8_suffix_k32_bs1_j2136608,qwen8_math500_osl32k_temp01_lyris_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260616_math_temp0_core_home_mount_qwen8,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,1,1,1,True,suffix,,32,,606.0613560811616,151.5153390202904,216.2685323603561,216.2685323603561,5.813235625749348,True,84.51370720054602,6.875678810565719,5.875678810565719,18967,131865,111444,"66.9531,55.9656,50.5668,48.3260,47.1556,46.3384,46.1117,45.6055,45.3894,45.1837,45.0888,44.8832,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/home/sna/vllm-runs/math_temp01_core_20260616_home_mount/qwen8_math500_osl32k_temp01_lyris_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260616_math_temp0_core_home_mount_qwen8/breakdown.json
math_t00_qwen8_suffix_k32_bs2_j2136608,qwen8_math500_osl32k_temp01_lyris_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260616_math_temp0_core_home_mount_qwen8,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,2,2,4096,32768,1,1,1,True,suffix,,32,,320.1289234389551,160.06446171947755,409.43504445637484,409.43504445637484,5.505886660257042,True,87.38069434582756,9.310420813193062,8.310420813193062,14068,133795,116911,"85.1578,79.2792,76.1160,69.0930,68.0196,67.1808,66.8823,66.3705,66.1501,65.8516,60.5914,60.3497,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/home/sna/vllm-runs/math_temp01_core_20260616_home_mount/qwen8_math500_osl32k_temp01_lyris_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260616_math_temp0_core_home_mount_qwen8/breakdown.json
math_t10_qwen30ba3b_baseline_bs1_j2135741,qwen30ba3b_math500_osl32k_temp01_lyris_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_math_temp1_core_home_qwen30ba3b,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,1,1,1,False,,,0,,6770.1596316370415,1692.5399079092604,19.36025250977819,19.36025250977819,1.0,False,,,,,,,,/home/sna/vllm-runs/math_temp01_core_20260616_home/qwen30ba3b_math500_osl32k_temp01_lyris_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_math_temp1_core_home_qwen30ba3b/breakdown.json
math_t10_qwen30ba3b_baseline_bs2_j2135741,qwen30ba3b_math500_osl32k_temp01_lyris_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_math_temp1_core_home_qwen30ba3b,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,2,2,4096,32768,1,1,1,False,,,0,,3376.458984097,1688.2294920485,38.819366862545756,38.819366862545756,1.0,False,,,,,,,,/home/sna/vllm-runs/math_temp01_core_20260616_home/qwen30ba3b_math500_osl32k_temp01_lyris_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260616_math_temp1_core_home_qwen30ba3b/breakdown.json
