label,tag,model,prompt_jsonl,prompt_offset,prompt_count_loaded,prompt_count_used,num_batches,batch_size,isl,osl,tp,pp,total_gpus,spec_active,spec_method,parallel_drafting,num_speculative_tokens,draft_model,latency_s,mean_latency_s,output_tok_s,output_tok_s_per_gpu,speedup_vs_baseline,metrics_available,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,num_drafts,num_draft_tokens,num_accepted_tokens,acceptance_rate_by_position_pct,breakdown_json
full_osl128k_qwen30_baseline,qwen30ba3b_swe_full_osl128k_lyris_baseline_offset0_n1_isl4096_osl131072_bs1_20260611,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_full_test_prompts_all.jsonl,0,1,1,1,1,4096,131072,1,1,1,False,,,,,6533.175089861965,6533.175089861965,20.062526749573053,20.062526749573053,1.0,False,,,,,,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl128k_lyris_baseline_offset0_n1_isl4096_osl131072_bs1_20260611/breakdown.json
full_osl128k_qwen30_suffix_k32,qwen30ba3b_swe_full_osl128k_lyris_suffix_offset0_n1_isl4096_osl131072_bs1_k32_arctic_20260611,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_full_test_prompts_all.jsonl,0,1,1,1,1,4096,131072,1,1,1,True,suffix,,32,,1644.5727903960506,1644.5727903960506,79.69972552472723,79.69972552472723,3.9725666921004006,True,97.16130604288499,11.524810839345417,10.524810839345417,11366,123120,119625,"90.9819,88.7735,88.1753,87.7969,87.6562,87.5682,87.4978,87.4010,87.3746,86.7764,86.3452,86.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl128k_lyris_suffix_offset0_n1_isl4096_osl131072_bs1_k32_arctic_20260611/breakdown.json
full_osl128k_qwen8_eagle3_k3,qwen8_swe_full_osl128k_lyris_eagle3_offset0_n1_isl4096_osl131072_bs1_k3_20260611,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_full_test_prompts_all.jsonl,0,1,1,1,1,4096,131072,1,1,1,True,eagle3,,3,RedHatAI/Qwen3-8B-speculator.eagle3,6044.900438626006,6044.900438626006,21.683070106906907,21.683070106906907,,True,40.87895413290756,2.2263686239872267,1.2263686239872267,58873,176619,72200,"47.4309,40.4566,34.7494",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen8_swe_full_osl128k_lyris_eagle3_offset0_n1_isl4096_osl131072_bs1_k3_20260611/breakdown.json
full_osl16k_qwen30_baseline,qwen30ba3b_swe_full_osl16k_lyris_baseline_offset0_n4_isl4096_osl16384_bs1_2_20260611,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_full_test_prompts_all.jsonl,0,4,4,4,1,4096,16384,1,1,1,False,,,,,3335.557603267138,833.8894008167845,19.647689470512603,19.647689470512603,1.0,False,,,,,,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl16k_lyris_baseline_offset0_n4_isl4096_osl16384_bs1_2_20260611/breakdown.json
full_osl16k_qwen30_pard_k5,qwen30ba3b_swe_full_osl16k_lyris_pard_offset0_n4_isl4096_osl16384_bs1_2_k5_20260611,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_full_test_prompts_all.jsonl,0,4,4,4,1,4096,16384,1,1,1,True,draft_model,True,5,amd/PARD-Qwen3-0.6B,1171.7384009700036,292.9346002425009,55.930572852905684,55.930572852905684,2.8466743093047504,True,59.52918335153501,3.9764591675767504,2.9764591675767504,16482,82410,49058,"89.1275,76.1619,56.6375,43.3625,32.3565",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl16k_lyris_pard_offset0_n4_isl4096_osl16384_bs1_2_k5_20260611/breakdown.json
full_osl16k_qwen30_suffix_k32,qwen30ba3b_swe_full_osl16k_lyris_suffix_offset0_n4_isl4096_osl16384_bs1_2_k32_arctic_20260611,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_full_test_prompts_all.jsonl,0,4,4,4,1,4096,16384,1,1,1,True,suffix,,32,,490.2508890568279,122.56272226420697,133.67849291631438,133.67849291631438,6.8037767553757424,True,82.8681223748101,6.869395505855048,5.869395505855048,9479,67138,55636,"67.7920,57.6643,51.9992,49.6571,48.6444,47.8848,47.3362,46.7560,45.7960,45.2474,39.9515,38.2108,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl16k_lyris_suffix_offset0_n4_isl4096_osl16384_bs1_2_k32_arctic_20260611/breakdown.json
full_osl16k_qwen8_baseline,qwen8_swe_full_osl16k_lyris_baseline_offset0_n4_isl4096_osl16384_bs1_2_20260611,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_full_test_prompts_all.jsonl,0,4,4,4,1,4096,16384,1,1,1,False,,,,,1780.2961855950998,445.07404639877495,36.811852168347635,36.811852168347635,1.0,False,,,,,,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen8_swe_full_osl16k_lyris_baseline_offset0_n4_isl4096_osl16384_bs1_2_20260611/breakdown.json
full_osl16k_qwen8_eagle3_k3,qwen8_swe_full_osl16k_lyris_eagle3_offset0_n4_isl4096_osl16384_bs1_2_k3_20260611,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_full_test_prompts_all.jsonl,0,4,4,4,1,4096,16384,1,1,1,True,eagle3,,3,RedHatAI/Qwen3-8B-speculator.eagle3,718.3267275980907,179.58168189952266,91.23424965563567,91.23424965563567,2.4783933510980107,True,62.18627022299956,2.865588106689987,1.8655881066899869,22870,68610,42666,"80.4198,61.9589,44.1801",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen8_swe_full_osl16k_lyris_eagle3_offset0_n4_isl4096_osl16384_bs1_2_k3_20260611/breakdown.json
full_osl16k_qwen8_pard2_k5,qwen8_swe_full_osl16k_lyris_pard2_offset0_n4_isl4096_osl16384_bs1_2_k5_20260611,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_full_test_prompts_all.jsonl,0,4,4,4,1,4096,16384,1,1,1,True,draft_model,True,5,amd/PARD2-Qwen3-8B,2210.7191284870496,552.6797821217624,29.64465234661035,29.64465234661035,0.8053018416742437,True,8.437839010631373,1.4218919505315686,0.4218919505315687,46090,230450,19445,"23.7774,8.5789,4.6149,3.0007,2.2174",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen8_swe_full_osl16k_lyris_pard2_offset0_n4_isl4096_osl16384_bs1_2_k5_20260611/breakdown.json
full_osl16k_qwen8_suffix_k32,qwen8_swe_full_osl16k_lyris_suffix_offset0_n4_isl4096_osl16384_bs1_2_k32_arctic_20260611,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_full_test_prompts_all.jsonl,0,4,4,4,1,4096,16384,1,1,1,True,suffix,,32,,232.278478104854,58.0696195262135,282.14409072551297,282.14409072551297,7.664490486249215,True,89.35720815863309,7.742388201712655,6.742388201712655,8408,63442,56690,"71.6817,62.2265,57.9924,56.1727,55.5423,54.7098,53.9605,53.2588,52.8663,52.0457,51.9743,51.8078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen8_swe_full_osl16k_lyris_suffix_offset0_n4_isl4096_osl16384_bs1_2_k32_arctic_20260611/breakdown.json
