job_id,label,method,model,prompt_offset,prompt_count,isl,osl,batch_sizes,logs_dir,breakdown_json,tracker_file
2100972,qwen30_baseline,baseline,Qwen/Qwen3-30B-A3B,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_verified_osl32k_lyris_publicpard_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_verified_osl32k_lyris_publicpard_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260611/breakdown.json,latest_lyris_qwen30ba3b_swebench_verified_osl32k_publicpard_20260611_jobs.txt
2100976,qwen30_suffix_k32,suffix,Qwen/Qwen3-30B-A3B,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_verified_osl32k_lyris_publicpard_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_verified_osl32k_lyris_publicpard_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260611/breakdown.json,latest_lyris_qwen30ba3b_swebench_verified_osl32k_publicpard_20260611_jobs.txt
2100980,qwen30_pard_k5,pard,Qwen/Qwen3-30B-A3B,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_verified_osl32k_lyris_publicpard_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_verified_osl32k_lyris_publicpard_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260611/breakdown.json,latest_lyris_qwen30ba3b_swebench_verified_osl32k_publicpard_20260611_jobs.txt
2100973,qwen8_baseline,baseline,Qwen/Qwen3-8B,0,4,4096,32768,1 2 4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_8b_swebench_verified_osl32k_lyris_pard2_eagle3_baseline_offset0_n4_isl4096_osl32768_bs1_2_4_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_8b_swebench_verified_osl32k_lyris_pard2_eagle3_baseline_offset0_n4_isl4096_osl32768_bs1_2_4_20260611/breakdown.json,latest_lyris_qwen3_8b_swebench_verified_osl32k_pard2_eagle3_20260611_jobs.txt
2100977,qwen8_pard2_k5,pard2,Qwen/Qwen3-8B,0,4,4096,32768,1 2 4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_8b_swebench_verified_osl32k_lyris_pard2_eagle3_pard2_offset0_n4_isl4096_osl32768_bs1_2_4_k5_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_8b_swebench_verified_osl32k_lyris_pard2_eagle3_pard2_offset0_n4_isl4096_osl32768_bs1_2_4_k5_20260611/breakdown.json,latest_lyris_qwen3_8b_swebench_verified_osl32k_pard2_eagle3_20260611_jobs.txt
2100979,qwen8_eagle3_k3,eagle3,Qwen/Qwen3-8B,0,4,4096,32768,1 2 4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_8b_swebench_verified_osl32k_lyris_pard2_eagle3_eagle3_offset0_n4_isl4096_osl32768_bs1_2_4_k3_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_8b_swebench_verified_osl32k_lyris_pard2_eagle3_eagle3_offset0_n4_isl4096_osl32768_bs1_2_4_k3_20260611/breakdown.json,latest_lyris_qwen3_8b_swebench_verified_osl32k_pard2_eagle3_20260611_jobs.txt
2100971,qwen14_baseline,baseline,Qwen/Qwen3-14B,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_14b_swebench_verified_osl32k_lyris_pard2_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_14b_swebench_verified_osl32k_lyris_pard2_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260611/breakdown.json,latest_lyris_qwen3_14b_swebench_verified_osl32k_pard2_20260611_jobs.txt
2100975,qwen14_pard2_k5,pard2,Qwen/Qwen3-14B,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_14b_swebench_verified_osl32k_lyris_pard2_pard2_offset0_n4_isl4096_osl32768_bs1_2_k5_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_14b_swebench_verified_osl32k_lyris_pard2_pard2_offset0_n4_isl4096_osl32768_bs1_2_k5_20260611/breakdown.json,latest_lyris_qwen3_14b_swebench_verified_osl32k_pard2_20260611_jobs.txt
2100974,qwen30thinking_baseline,baseline,Qwen/Qwen3-30B-A3B-Thinking-2507,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_swebench_verified_osl32k_lyris_eagle3_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_swebench_verified_osl32k_lyris_eagle3_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260611/breakdown.json,latest_lyris_qwen30ba3b_thinking2507_swebench_verified_osl32k_eagle3_20260611_jobs.txt
2100978,qwen30thinking_eagle3_k1,eagle3,Qwen/Qwen3-30B-A3B-Thinking-2507,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_swebench_verified_osl32k_lyris_eagle3_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k1_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_swebench_verified_osl32k_lyris_eagle3_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k1_20260611/breakdown.json,latest_lyris_qwen30ba3b_thinking2507_swebench_verified_osl32k_eagle3_20260611_jobs.txt
2101240,qwen30_suffix_k5,suffix,Qwen/Qwen3-30B-A3B,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_verified_osl32k_lyris_suffix_k5_control_suffix_offset0_n4_isl4096_osl32768_bs1_2_k5_arctic_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_verified_osl32k_lyris_suffix_k5_control_suffix_offset0_n4_isl4096_osl32768_bs1_2_k5_arctic_20260611/breakdown.json,latest_lyris_qwen30ba3b_swebench_verified_osl32k_suffix_k5_control_20260612_jobs.txt
2101239,qwen8_suffix_k5,suffix,Qwen/Qwen3-8B,0,4,4096,32768,1 2 4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_8b_swebench_verified_osl32k_lyris_suffix_k5_control_suffix_offset0_n4_isl4096_osl32768_bs1_2_4_k5_arctic_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_8b_swebench_verified_osl32k_lyris_suffix_k5_control_suffix_offset0_n4_isl4096_osl32768_bs1_2_4_k5_arctic_20260611/breakdown.json,latest_lyris_qwen3_8b_swebench_verified_osl32k_suffix_k5_control_20260612_jobs.txt
2101241,qwen14_suffix_k5,suffix,Qwen/Qwen3-14B,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_14b_swebench_verified_osl32k_lyris_suffix_k5_control_suffix_offset0_n4_isl4096_osl32768_bs1_2_k5_arctic_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_14b_swebench_verified_osl32k_lyris_suffix_k5_control_suffix_offset0_n4_isl4096_osl32768_bs1_2_k5_arctic_20260611/breakdown.json,latest_lyris_qwen3_14b_swebench_verified_osl32k_suffix_k5_control_20260612_jobs.txt
2101263,qwen30_pard_k9,pard,Qwen/Qwen3-30B-A3B,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_verified_osl32k_lyris_publicpard_highk_pard_offset0_n4_isl4096_osl32768_bs1_2_k9_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_verified_osl32k_lyris_publicpard_highk_pard_offset0_n4_isl4096_osl32768_bs1_2_k9_20260611/breakdown.json,latest_lyris_qwen30ba3b_swebench_verified_osl32k_publicpard_k9_20260612_jobs.txt
2101264,qwen30_pard_k11,pard,Qwen/Qwen3-30B-A3B,0,4,4096,32768,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_verified_osl32k_lyris_publicpard_highk_pard_offset0_n4_isl4096_osl32768_bs1_2_k11_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_verified_osl32k_lyris_publicpard_highk_pard_offset0_n4_isl4096_osl32768_bs1_2_k11_20260611/breakdown.json,latest_lyris_qwen30ba3b_swebench_verified_osl32k_publicpard_k11_20260612_jobs.txt
2101266,qwen8_pard2_k9,pard2,Qwen/Qwen3-8B,0,4,4096,32768,1 2 4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_8b_swebench_verified_osl32k_lyris_pard2_highk_pard2_offset0_n4_isl4096_osl32768_bs1_2_4_k9_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_8b_swebench_verified_osl32k_lyris_pard2_highk_pard2_offset0_n4_isl4096_osl32768_bs1_2_4_k9_20260611/breakdown.json,latest_lyris_qwen3_8b_swebench_verified_osl32k_pard2_k9_20260612_jobs.txt
