job_id,dataset,model_group,method,method_detail,model,prompt_offset,prompt_count,isl,osl,batch_sizes,logs_dir,breakdown_json,tracker_file,label
2109238,full,qwen30,baseline,baseline,Qwen/Qwen3-30B-A3B,0,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs4_baseline_offset0_n4_isl4096_osl32768_bs4_20260612,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs4_baseline_offset0_n4_isl4096_osl32768_bs4_20260612/breakdown.json,latest_lyris_swebench_osl32k_batch_sweep_20260612_jobs.csv,full_osl32k_qwen30_baseline
2109250,full,qwen30,baseline,baseline,Qwen/Qwen3-30B-A3B,0,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs8_baseline_offset0_n8_isl4096_osl32768_bs8_20260612,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs8_baseline_offset0_n8_isl4096_osl32768_bs8_20260612/breakdown.json,latest_lyris_swebench_osl32k_batch_sweep_20260612_jobs.csv,full_osl32k_qwen30_baseline
2109269,full,qwen30,baseline,baseline,Qwen/Qwen3-30B-A3B,0,16,4096,32768,16,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs16_baseline_offset0_n16_isl4096_osl32768_bs16_20260612,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs16_baseline_offset0_n16_isl4096_osl32768_bs16_20260612/breakdown.json,latest_lyris_swebench_osl32k_batch_sweep_20260612_jobs.csv,full_osl32k_qwen30_baseline
2109288,full,qwen30,baseline,baseline,Qwen/Qwen3-30B-A3B,0,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs32_baseline_offset0_n32_isl4096_osl32768_bs32_20260612,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs32_baseline_offset0_n32_isl4096_osl32768_bs32_20260612/breakdown.json,latest_lyris_swebench_osl32k_batch_sweep_20260612_jobs.csv,full_osl32k_qwen30_baseline
2109375,full,qwen30,baseline,baseline,Qwen/Qwen3-30B-A3B,0,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs32_baseline_offset0_n32_isl4096_osl32768_bs32_20260612_lowmbt,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs32_baseline_offset0_n32_isl4096_osl32768_bs32_20260612_lowmbt/breakdown.json,latest_lyris_swebench_osl32k_batch_sweep_qwen30_bs32_lowmbt_retry_20260612_jobs.csv,full_osl32k_qwen30_baseline
2109241,full,qwen30,pard,pard_k5,Qwen/Qwen3-30B-A3B,0,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs4_pard_offset0_n4_isl4096_osl32768_bs4_k5_20260612,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs4_pard_offset0_n4_isl4096_osl32768_bs4_k5_20260612/breakdown.json,latest_lyris_swebench_osl32k_batch_sweep_20260612_jobs.csv,full_osl32k_qwen30_pard_k5
2109252,full,qwen30,pard,pard_k5,Qwen/Qwen3-30B-A3B,0,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs8_pard_offset0_n8_isl4096_osl32768_bs8_k5_20260612,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs8_pard_offset0_n8_isl4096_osl32768_bs8_k5_20260612/breakdown.json,latest_lyris_swebench_osl32k_batch_sweep_20260612_jobs.csv,full_osl32k_qwen30_pard_k5
2109272,full,qwen30,pard,pard_k5,Qwen/Qwen3-30B-A3B,0,16,4096,32768,16,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs16_pard_offset0_n16_isl4096_osl32768_bs16_k5_20260612,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs16_pard_offset0_n16_isl4096_osl32768_bs16_k5_20260612/breakdown.json,latest_lyris_swebench_osl32k_batch_sweep_20260612_jobs.csv,full_osl32k_qwen30_pard_k5
2109291,full,qwen30,pard,pard_k5,Qwen/Qwen3-30B-A3B,0,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs32_pard_offset0_n32_isl4096_osl32768_bs32_k5_20260612,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs32_pard_offset0_n32_isl4096_osl32768_bs32_k5_20260612/breakdown.json,latest_lyris_swebench_osl32k_batch_sweep_20260612_jobs.csv,full_osl32k_qwen30_pard_k5
2109380,full,qwen30,pard,pard_k5,Qwen/Qwen3-30B-A3B,0,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs32_pard_offset0_n32_isl4096_osl32768_bs32_k5_20260612_lowmbt,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swe_full_osl32k_bsweep_lyris_bs32_pard_offset0_n32_isl4096_osl32768_bs32_k5_20260612_lowmbt/breakdown.json,latest_lyris_swebench_osl32k_batch_sweep_qwen30_bs32_lowmbt_retry_20260612_jobs.csv,full_osl32k_qwen30_pard_k5
