job_id,label,method,model,prompt_offset,prompt_count,isl,osl,batch_sizes,logs_dir,breakdown_json,tracker_file
2101420,qwen235b_n16_isl4096_osl1024_baseline,baseline,Qwen/Qwen3-235B-A22B,0,16,4096,1024,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_r2_baseline_offset0_n16_isl4096_osl1024_bs1_2_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_r2_baseline_offset0_n16_isl4096_osl1024_bs1_2_20260611/breakdown.json,latest_lyris_qwen235b_a22b_swebench_verified_osl1k_suffix_k32_r2_20260612_jobs.txt
2101421,qwen235b_n16_isl4096_osl1024_suffix_k32,suffix,Qwen/Qwen3-235B-A22B,0,16,4096,1024,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_r2_suffix_offset0_n16_isl4096_osl1024_bs1_2_k32_arctic_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_r2_suffix_offset0_n16_isl4096_osl1024_bs1_2_k32_arctic_20260611/breakdown.json,latest_lyris_qwen235b_a22b_swebench_verified_osl1k_suffix_k32_r2_20260612_jobs.txt
2101504,qwen235b_n16_isl4096_osl1024_suffix_k1,suffix,Qwen/Qwen3-235B-A22B,0,16,4096,1024,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_suffix_k1_r2_suffix_offset0_n16_isl4096_osl1024_bs1_2_k1_arctic_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_suffix_k1_r2_suffix_offset0_n16_isl4096_osl1024_bs1_2_k1_arctic_20260611/breakdown.json,latest_lyris_qwen235b_a22b_swebench_verified_osl1k_suffix_k1_r2_20260612_jobs.txt
2101505,qwen235b_n16_isl4096_osl1024_suffix_k2,suffix,Qwen/Qwen3-235B-A22B,0,16,4096,1024,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_suffix_k2_r2_suffix_offset0_n16_isl4096_osl1024_bs1_2_k2_arctic_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_suffix_k2_r2_suffix_offset0_n16_isl4096_osl1024_bs1_2_k2_arctic_20260611/breakdown.json,latest_lyris_qwen235b_a22b_swebench_verified_osl1k_suffix_k2_r2_20260612_jobs.txt
2101506,qwen235b_n16_isl4096_osl1024_suffix_k4,suffix,Qwen/Qwen3-235B-A22B,0,16,4096,1024,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_suffix_k4_r2_suffix_offset0_n16_isl4096_osl1024_bs1_2_k4_arctic_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_suffix_k4_r2_suffix_offset0_n16_isl4096_osl1024_bs1_2_k4_arctic_20260611/breakdown.json,latest_lyris_qwen235b_a22b_swebench_verified_osl1k_suffix_k4_r2_20260612_jobs.txt
2101507,qwen235b_n16_isl4096_osl1024_suffix_k8,suffix,Qwen/Qwen3-235B-A22B,0,16,4096,1024,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_suffix_k8_r2_suffix_offset0_n16_isl4096_osl1024_bs1_2_k8_arctic_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_suffix_k8_r2_suffix_offset0_n16_isl4096_osl1024_bs1_2_k8_arctic_20260611/breakdown.json,latest_lyris_qwen235b_a22b_swebench_verified_osl1k_suffix_k8_r2_20260612_jobs.txt
2102005,qwen235b_n2_isl4096_osl32768_suffix_k1,suffix,Qwen/Qwen3-235B-A22B,0,2,4096,32768,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_suffix_k1_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k1_arctic_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_suffix_k1_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k1_arctic_20260611/breakdown.json,latest_lyris_qwen235b_a22b_swebench_verified_osl32k_suffix_k1_pilot_r2_20260612_jobs.txt
2102006,qwen235b_n2_isl4096_osl32768_suffix_k2,suffix,Qwen/Qwen3-235B-A22B,0,2,4096,32768,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_suffix_k2_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k2_arctic_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_suffix_k2_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k2_arctic_20260611/breakdown.json,latest_lyris_qwen235b_a22b_swebench_verified_osl32k_suffix_k2_pilot_r2_20260612_jobs.txt
2102008,qwen235b_n2_isl4096_osl32768_suffix_k4,suffix,Qwen/Qwen3-235B-A22B,0,2,4096,32768,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_suffix_k4_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k4_arctic_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_suffix_k4_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k4_arctic_20260611/breakdown.json,latest_lyris_qwen235b_a22b_swebench_verified_osl32k_suffix_k4_pilot_r2_20260612_jobs.txt
2102009,qwen235b_n2_isl4096_osl32768_suffix_k8,suffix,Qwen/Qwen3-235B-A22B,0,2,4096,32768,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_suffix_k8_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k8_arctic_20260611,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_suffix_k8_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k8_arctic_20260611/breakdown.json,latest_lyris_qwen235b_a22b_swebench_verified_osl32k_suffix_k8_pilot_r2_20260612_jobs.txt
