label,tag,model,prompt_jsonl,prompt_offset,prompt_count_loaded,prompt_count_used,num_batches,batch_size,isl,osl,tp,pp,total_gpus,spec_active,spec_method,parallel_drafting,num_speculative_tokens,draft_model,latency_s,mean_latency_s,output_tok_s,output_tok_s_per_gpu,speedup_vs_baseline,metrics_available,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,num_drafts,num_draft_tokens,num_accepted_tokens,acceptance_rate_by_position_pct,breakdown_json
math500_osl32k_qwen30_baseline,qwen30ba3b_math500_osl32k_lyris_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260612_math,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,1,1,1,False,,,,,6516.646116062038,1629.1615290155096,20.113413812196672,20.113413812196672,1.0,False,,,,,,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_math500_osl32k_lyris_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260612_math/breakdown.json
math500_osl32k_qwen30_pard_k3,qwen30ba3b_math500_osl32k_pardk3_lyris_pard_offset0_n4_isl4096_osl32768_bs1_2_k3_20260612_math,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,1,1,1,True,draft_model,True,3,amd/PARD-Qwen3-0.6B,3523.5188644690206,880.8797161172552,37.19917646013568,37.19917646013568,1.8494710449192016,True,70.67225290420872,3.1201675871262617,2.1201675871262617,42008,126024,89064,"88.7141,74.2073,49.0954",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_math500_osl32k_pardk3_lyris_pard_offset0_n4_isl4096_osl32768_bs1_2_k3_20260612_math/breakdown.json
math500_osl32k_qwen30_pard_k5,qwen30ba3b_math500_osl32k_lyris_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260612_math,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,1,1,1,True,draft_model,True,5,amd/PARD-Qwen3-0.6B,3096.1848840560124,774.0462210140031,42.333389286590425,42.333389286590425,2.1047341680465834,True,52.15435853678677,3.6077179268393382,2.6077179268393382,36331,181655,94741,"88.1589,74.2699,44.4441,30.8800,23.0189",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_math500_osl32k_lyris_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260612_math/breakdown.json
math500_osl32k_qwen30_suffix_k32,qwen30ba3b_math500_osl32k_lyris_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260612_math,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,1,1,1,True,suffix,,32,,893.2206138090114,223.30515345225285,146.74090361737424,146.74090361737424,7.295673672680632,True,88.43495145631069,7.845427764083449,6.845427764083449,16633,128750,113860,"72.6568,62.6886,58.5883,56.6224,55.6664,55.0111,54.8007,54.0191,53.8989,53.6704,53.5502,53.3698,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_math500_osl32k_lyris_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260612_math/breakdown.json
math500_osl32k_qwen8_baseline,qwen8_math500_osl32k_lyris_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260612_math,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,1,1,1,False,,,,,3562.4647020999982,890.6161755249996,36.792504897728755,36.792504897728755,1.0,False,,,,,,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen8_math500_osl32k_lyris_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260612_math/breakdown.json
math500_osl32k_qwen8_eagle3_k3,qwen8_math500_osl32k_lyris_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260612_math,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,1,1,1,True,eagle3,,3,RedHatAI/Qwen3-8B-speculator.eagle3,1762.3077693029772,440.5769423257443,74.37520408358706,74.37520408358706,2.021477045129872,True,62.939050724957035,2.8881715217487107,1.888171521748711,45382,136146,85689,"76.9997,61.7095,50.1080",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen8_math500_osl32k_lyris_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260612_math/breakdown.json
math500_osl32k_qwen8_official_pard2_k3,qwen8_math500_osl32k_pard2_official_k3_20260612,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,1,1,1,True,pard2,True,3,amd/PARD2-Qwen3-8B,8194.897318445,2048.72432961125,15.994343175598349,15.994343175598349,0.43471743008684627,True,0.07161771939616832,1.002148531581885,0.0021485315818850497,130787,392361,281,"0.2041,0.0099,0.0008",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen8_math500_osl32k_pard2_official_k3_20260612/breakdown.json
math500_osl32k_qwen8_official_pard2_k5,qwen8_math500_osl32k_pard2_official_k5_20260612,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,1,1,1,True,pard2,True,5,amd/PARD2-Qwen3-8B,8139.461799824006,2034.8654499560016,16.103276017934512,16.103276017934512,0.43767816468860715,True,0.042970631637701,1.002148531581885,0.0021485315818850497,130787,653935,281,"0.2041,0.0099,0.0008,0.0000,0.0000",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen8_math500_osl32k_pard2_official_k5_20260612/breakdown.json
math500_osl32k_qwen8_suffix_k32,qwen8_math500_osl32k_lyris_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260612_math,Qwen/Qwen3-8B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,1,1,1,True,suffix,,32,,606.7695873049088,151.6923968262272,216.0161002501511,216.0161002501511,5.871198518573441,True,84.51370720054602,6.875678810565719,5.875678810565719,18967,131865,111444,"66.9531,55.9656,50.5668,48.3260,47.1556,46.3384,46.1117,45.6055,45.3894,45.1837,45.0888,44.8832,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen8_math500_osl32k_lyris_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260612_math/breakdown.json
math500_osl32k_qwen30_baseline,qwen30ba3b_math500_osl32k_lyris_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260612_math,Qwen/Qwen3-30B-A3B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,2,2,4096,32768,1,1,1,False,,,,,3266.8056239789876,1633.4028119894938,40.122374908964915,40.122374908964915,1.0,False,,,,,,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_math500_osl32k_lyris_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260612_math/breakdown.json
