status,runtime,backend,attention_backend,domain,model,temperature,top_p,batch_size,isl,osl,context_profile,position_encoding,setup_signature,method,k,tok_s_gpu,speedup,speedup_label,acceptance_rate,mean_accept_len,job_id,source
complete,AngelSlim,angelslim_transformers_native,torch.sdpa,Math,Qwen3-8B,1.0,1.0,1,4096,65536,YaRN 64K,yarn4,"{""dataset"":""math500"",""ignore_eos"":true,""input_length"":4096,""max_new_tokens"":65536,""max_samples"":4,""target_model"":""/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm024-dynamicsd/long-context-models/yarn4/qwen3-8b"",""temperature"":1.0,""top_p"":1.0,""world_size"":4}",dflare_k16,16.0,12.47379089937458,,waiting matched baseline,0.5412904910366667,9.11935736555,2272240,experiments/vllm_024_dynamicsd/report/20260703_dflare_completed/64k/math/job-2272240/result.json
complete,AngelSlim,angelslim_transformers_native,torch.sdpa,SWE,Qwen3-8B,0.0,1.0,1,4096,65536,YaRN 64K,yarn4,"{""dataset"":""swe-bench"",""ignore_eos"":true,""input_length"":4096,""max_new_tokens"":65536,""max_samples"":4,""target_model"":""/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm024-dynamicsd/long-context-models/yarn4/qwen3-8b"",""temperature"":0.0,""top_p"":1.0,""world_size"":4}",dflare_k16,16.0,15.516757236600196,,waiting matched baseline,0.659131916591933,10.886978748878995,2271723,experiments/vllm_024_dynamicsd/report/20260703_dflare_completed/64k/swe/job-2271723/result.json
complete,AngelSlim,angelslim_transformers_native,torch.sdpa,Math,Qwen3-8B,0.0,1.0,1,4096,32768,Native 32K,native,"{""dataset"":""math500"",""ignore_eos"":true,""input_length"":4096,""max_new_tokens"":32768,""max_samples"":4,""target_model"":""/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-8B/snapshots/b968826d9c46dd6066d109eabc6255188de91218"",""temperature"":0.0,""top_p"":1.0,""world_size"":4}",baseline,,2.9107576037527987,1.0,1.00x,,,2271128,experiments/vllm_024_dynamicsd/report/20260703_dflare_completed/native32k/math/job-2271128/result.json
complete,AngelSlim,angelslim_transformers_native,torch.sdpa,Math,Qwen3-8B,0.0,1.0,1,4096,32768,Native 32K,native,"{""dataset"":""math500"",""ignore_eos"":true,""input_length"":4096,""max_new_tokens"":32768,""max_samples"":4,""target_model"":""/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-8B/snapshots/b968826d9c46dd6066d109eabc6255188de91218"",""temperature"":0.0,""top_p"":1.0,""world_size"":4}",dflare_k16,16.0,9.532977038465841,3.2750844749748684,3.28x,0.35850556289584323,6.377583443437649,2271128,experiments/vllm_024_dynamicsd/report/20260703_dflare_completed/native32k/math/job-2271128/result.json
complete,AngelSlim,angelslim_transformers_native,torch.sdpa,Math,Qwen3-8B,1.0,1.0,1,4096,32768,Native 32K,native,"{""dataset"":""math500"",""ignore_eos"":true,""input_length"":4096,""max_new_tokens"":32768,""max_samples"":4,""target_model"":""/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-8B/snapshots/b968826d9c46dd6066d109eabc6255188de91218"",""temperature"":1.0,""top_p"":1.0,""world_size"":4}",baseline,,2.917896560971548,1.0,1.00x,,,2271129,experiments/vllm_024_dynamicsd/report/20260703_dflare_completed/native32k/math/job-2271129/result.json
complete,AngelSlim,angelslim_transformers_native,torch.sdpa,Math,Qwen3-8B,1.0,1.0,1,4096,32768,Native 32K,native,"{""dataset"":""math500"",""ignore_eos"":true,""input_length"":4096,""max_new_tokens"":32768,""max_samples"":4,""target_model"":""/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-8B/snapshots/b968826d9c46dd6066d109eabc6255188de91218"",""temperature"":1.0,""top_p"":1.0,""world_size"":4}",dflare_k16,16.0,12.343158177832505,4.230156182686169,4.23x,0.5234481970820675,8.851722956231011,2271129,experiments/vllm_024_dynamicsd/report/20260703_dflare_completed/native32k/math/job-2271129/result.json
complete,AngelSlim,angelslim_transformers_native,torch.sdpa,SWE,Qwen3-8B,0.0,1.0,1,4096,32768,Native 32K,native,"{""dataset"":""swe-bench"",""ignore_eos"":true,""input_length"":4096,""max_new_tokens"":32768,""max_samples"":4,""target_model"":""/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-8B/snapshots/b968826d9c46dd6066d109eabc6255188de91218"",""temperature"":0.0,""top_p"":1.0,""world_size"":4}",baseline,,2.8290564922623993,1.0,1.00x,,,2271130,experiments/vllm_024_dynamicsd/report/20260703_dflare_completed/native32k/swe/job-2271130/result.json
complete,AngelSlim,angelslim_transformers_native,torch.sdpa,SWE,Qwen3-8B,0.0,1.0,1,4096,32768,Native 32K,native,"{""dataset"":""swe-bench"",""ignore_eos"":true,""input_length"":4096,""max_new_tokens"":32768,""max_samples"":4,""target_model"":""/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-8B/snapshots/b968826d9c46dd6066d109eabc6255188de91218"",""temperature"":0.0,""top_p"":1.0,""world_size"":4}",dflare_k16,16.0,13.472440171771566,4.762167248557713,4.76x,0.5529809593024078,9.294714389536116,2271130,experiments/vllm_024_dynamicsd/report/20260703_dflare_completed/native32k/swe/job-2271130/result.json
complete,AngelSlim,angelslim_transformers_native,torch.sdpa,Math,Qwen3-8B,1.0,1.0,1,4096,126976,YaRN total-128K,yarn4,"{""dataset"":""math500"",""ignore_eos"":true,""input_length"":4096,""max_new_tokens"":126976,""max_samples"":4,""target_model"":""/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm024-dynamicsd/long-context-models/yarn4/qwen3-8b"",""temperature"":1.0,""top_p"":1.0,""world_size"":4}",dflare_k16,16.0,10.062146229280854,,waiting matched baseline,0.4913722256869023,8.370583385303535,2272941,experiments/vllm_024_dynamicsd/report/20260704_dflare_completed/128k/math/job-2272941/result.json
complete,AngelSlim,angelslim_transformers_native,torch.sdpa,SWE,Qwen3-8B,1.0,1.0,1,4096,65536,YaRN 64K,yarn4,"{""dataset"":""swe-bench"",""ignore_eos"":true,""input_length"":4096,""max_new_tokens"":65536,""max_samples"":4,""target_model"":""/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm024-dynamicsd/long-context-models/yarn4/qwen3-8b"",""temperature"":1.0,""top_p"":1.0,""world_size"":4}",dflare_k16,16.0,5.964725861786566,,waiting matched baseline,0.2689871192566173,5.034806788849259,2272938,experiments/vllm_024_dynamicsd/report/20260704_dflare_completed/64k/swe/job-2272938/result.json
complete,AngelSlim,angelslim_transformers_native,torch.sdpa,SWE,Qwen3-8B,1.0,1.0,1,4096,32768,Native 32K,native,"{""dataset"":""swe-bench"",""ignore_eos"":true,""input_length"":4096,""max_new_tokens"":32768,""max_samples"":4,""target_model"":""/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-8B/snapshots/b968826d9c46dd6066d109eabc6255188de91218"",""temperature"":1.0,""top_p"":1.0,""world_size"":4}",baseline,,2.914745003865582,1.0,1.00x,,,2272937,experiments/vllm_024_dynamicsd/report/20260704_dflare_completed/native32k/swe/job-2272937/result.json
complete,AngelSlim,angelslim_transformers_native,torch.sdpa,SWE,Qwen3-8B,1.0,1.0,1,4096,32768,Native 32K,native,"{""dataset"":""swe-bench"",""ignore_eos"":true,""input_length"":4096,""max_new_tokens"":32768,""max_samples"":4,""target_model"":""/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-8B/snapshots/b968826d9c46dd6066d109eabc6255188de91218"",""temperature"":1.0,""top_p"":1.0,""world_size"":4}",dflare_k16,16.0,10.961193566493263,3.7606012024915905,3.76x,0.4364810761894226,7.547216142841339,2272937,experiments/vllm_024_dynamicsd/report/20260704_dflare_completed/native32k/swe/job-2272937/result.json
