job_id,run_id,method,max_steps,state,target_model,draft_model,num_speculative_tokens,base_log_dir,local_log_dir,tracker_file
2114342,20260613_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1,baseline,10,CANCELLED,/lustre/fsw/coreai_dlalgo_llm/users/sna/model_snapshots/Qwen3-235B-A22B-Thinking-2507,,0,/lustre/fsw/coreai_dlalgo_llm/users/sna/swerl_fullgrpo_logs/20260613_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1/baseline_steps10,tmp/lyris_swerl_fullgrpo_logs/20260613_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1/baseline_steps10_2114342,latest_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1_20260613_jobs.csv
2114343,20260613_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1,suffix,10,CANCELLED,/lustre/fsw/coreai_dlalgo_llm/users/sna/model_snapshots/Qwen3-235B-A22B-Thinking-2507,,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/swerl_fullgrpo_logs/20260613_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1/suffix_steps10,tmp/lyris_swerl_fullgrpo_logs/20260613_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1/suffix_steps10_2114343,latest_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1_20260613_jobs.csv
2114344,20260613_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1,pard,10,CANCELLED,/lustre/fsw/coreai_dlalgo_llm/users/sna/model_snapshots/Qwen3-235B-A22B-Thinking-2507,amd/PARD-Qwen3-0.6B,5,/lustre/fsw/coreai_dlalgo_llm/users/sna/swerl_fullgrpo_logs/20260613_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1/pard_steps10,tmp/lyris_swerl_fullgrpo_logs/20260613_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1/pard_steps10_2114344,latest_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1_20260613_jobs.csv
2114345,20260613_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1,pard2,10,CANCELLED,/lustre/fsw/coreai_dlalgo_llm/users/sna/model_snapshots/Qwen3-235B-A22B-Thinking-2507,amd/PARD2-Qwen3-8B,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/swerl_fullgrpo_logs/20260613_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1/pard2_steps10,tmp/lyris_swerl_fullgrpo_logs/20260613_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1/pard2_steps10_2114345,latest_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1_20260613_jobs.csv
2114346,20260613_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1,eagle3,10,CANCELLED,/lustre/fsw/coreai_dlalgo_llm/users/sna/model_snapshots/Qwen3-235B-A22B-Thinking-2507,nvidia/Qwen3-235B-A22B-Eagle3,3,/lustre/fsw/coreai_dlalgo_llm/users/sna/swerl_fullgrpo_logs/20260613_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1/eagle3_steps10,tmp/lyris_swerl_fullgrpo_logs/20260613_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1/eagle3_steps10_2114346,latest_lyris_swerl_qwen235b_fullgrpo_specdec_after_prewarm_r1_20260613_jobs.csv
2114333,20260613_lyris_swerl_qwen235b_megatron_reconvert_r3,baseline,1,FAILED,/lustre/fsw/coreai_dlalgo_llm/users/sna/model_snapshots/Qwen3-235B-A22B-Thinking-2507,,0,/lustre/fsw/coreai_dlalgo_llm/users/sna/swerl_fullgrpo_logs/20260613_lyris_swerl_qwen235b_megatron_reconvert_r3/baseline_steps1,tmp/lyris_swerl_fullgrpo_logs/20260613_lyris_swerl_qwen235b_megatron_reconvert_r3/baseline_steps1_2114333,latest_lyris_swerl_qwen235b_megatron_reconvert_r3_20260613_jobs.csv
2118719,20260614_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1,baseline,10,PENDING,/lustre/fsw/coreai_dlalgo_llm/users/sna/model_snapshots/Qwen3-235B-A22B-Thinking-2507,,0,/lustre/fsw/coreai_dlalgo_llm/users/sna/swerl_fullgrpo_logs/20260614_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1/baseline_steps10,tmp/lyris_swerl_fullgrpo_logs/20260614_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1/baseline_steps10_2118719,latest_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1_20260614_jobs.csv
2118720,20260614_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1,suffix,10,PENDING,/lustre/fsw/coreai_dlalgo_llm/users/sna/model_snapshots/Qwen3-235B-A22B-Thinking-2507,,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/swerl_fullgrpo_logs/20260614_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1/suffix_steps10,tmp/lyris_swerl_fullgrpo_logs/20260614_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1/suffix_steps10_2118720,latest_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1_20260614_jobs.csv
2118721,20260614_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1,pard,10,PENDING,/lustre/fsw/coreai_dlalgo_llm/users/sna/model_snapshots/Qwen3-235B-A22B-Thinking-2507,amd/PARD-Qwen3-0.6B,5,/lustre/fsw/coreai_dlalgo_llm/users/sna/swerl_fullgrpo_logs/20260614_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1/pard_steps10,tmp/lyris_swerl_fullgrpo_logs/20260614_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1/pard_steps10_2118721,latest_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1_20260614_jobs.csv
2118724,20260614_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1,pard2,10,PENDING,/lustre/fsw/coreai_dlalgo_llm/users/sna/model_snapshots/Qwen3-235B-A22B-Thinking-2507,amd/PARD2-Qwen3-8B,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/swerl_fullgrpo_logs/20260614_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1/pard2_steps10,tmp/lyris_swerl_fullgrpo_logs/20260614_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1/pard2_steps10_2118724,latest_lyris_swerl_qwen235b_fullgrpo_specdec_after_wandb_prewarm_r1_20260614_jobs.csv
