label,tag,model,prompt_jsonl,prompt_offset,prompt_count_loaded,prompt_count_used,num_batches,batch_size,isl,osl,tp,pp,total_gpus,spec_active,spec_method,parallel_drafting,num_speculative_tokens,draft_model,latency_s,mean_latency_s,output_tok_s,output_tok_s_per_gpu,speedup_vs_baseline,metrics_available,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,num_drafts,num_draft_tokens,num_accepted_tokens,acceptance_rate_by_position_pct,breakdown_json
3263880_swebench_lite_or_pilot_baseline,qwen30ba3b_swebench_fulltest_baseline_offset0_n256_isl4096_osl1024_bs8_16_k5_20260611,Qwen/Qwen3-30B-A3B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_full_test_prompts_all.jsonl,0,256,256,32,8,4096,1024,1,1,1,False,,,,,1921.1850116930582,60.03703161540807,136.44911781244,136.44911781244,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_fulltest_baseline_offset0_n256_isl4096_osl1024_bs8_16_k5_20260611/breakdown.json
3263881_swebench_lite_or_pilot_pard,qwen30ba3b_swebench_fulltest_pard_offset0_n256_isl4096_osl1024_bs8_16_k5_20260611,Qwen/Qwen3-30B-A3B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_full_test_prompts_all.jsonl,0,256,256,32,8,4096,1024,1,1,1,True,draft_model,True,5,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/qwen3_30ba3b_pard2_cat_artifacts/checkpoints/PARD-Qwen3-0.6B_qwen30ba3b_math_k5_cat_tpp_mask_1024_resume_20260605_173358/checkpoint-32,1064.4110497980005,33.262845306187515,246.28079542179555,246.28079542179555,1.8049277222907942,True,34.86804531333354,2.743402265666677,1.7434022656666772,95601,478005,166671,"69.5484,44.9640,28.6964,18.6473,12.4842",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_fulltest_pard_offset0_n256_isl4096_osl1024_bs8_16_k5_20260611/breakdown.json
3264024_swebench_fulltest_suffix,qwen30ba3b_swebench_fulltest_suffix_offset0_n256_isl4096_osl1024_bs8_16_k32_20260611_arctic,Qwen/Qwen3-30B-A3B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_full_test_prompts_all.jsonl,0,256,256,32,8,4096,1024,1,1,1,True,suffix,,32,,1146.4072144039856,35.82522545012455,228.66569287623338,228.66569287623338,1.6758312295617206,True,27.17678878780428,1.7466140679145359,0.746614067914536,148039,406700,110528,"38.4257,16.4038,7.0150,3.4822,2.3244,1.5867,1.3409,1.0072,0.9153,0.8032,0.7403,0.6167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_fulltest_suffix_offset0_n256_isl4096_osl1024_bs8_16_k32_20260611_arctic/breakdown.json
3264042_swebench_fulltest_qwen30ba3b,qwen30ba3b_swebench_fulltest_pld_offset0_n256_isl4096_osl1024_bs8_16_k5_n4_20260611_pld,Qwen/Qwen3-30B-A3B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_full_test_prompts_all.jsonl,0,256,256,32,8,4096,1024,1,1,1,True,ngram,,5,,1560.4976011800172,48.76555003687554,167.98744182738372,167.98744182738372,1.231136151853291,True,35.93501999184714,2.796003294464433,1.7960032944644329,23069,115297,41432,"60.6181,42.1301,31.5272,24.9902,20.3346",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_fulltest_pld_offset0_n256_isl4096_osl1024_bs8_16_k5_n4_20260611_pld/breakdown.json
3263880_swebench_lite_or_pilot_baseline,qwen30ba3b_swebench_fulltest_baseline_offset0_n256_isl4096_osl1024_bs8_16_k5_20260611,Qwen/Qwen3-30B-A3B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_full_test_prompts_all.jsonl,0,256,256,16,16,4096,1024,1,1,1,False,,,,,908.6672226809751,56.791701417560944,288.49285355155416,288.49285355155416,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_fulltest_baseline_offset0_n256_isl4096_osl1024_bs8_16_k5_20260611/breakdown.json
3263881_swebench_lite_or_pilot_pard,qwen30ba3b_swebench_fulltest_pard_offset0_n256_isl4096_osl1024_bs8_16_k5_20260611,Qwen/Qwen3-30B-A3B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_full_test_prompts_all.jsonl,0,256,256,16,16,4096,1024,1,1,1,True,draft_model,True,5,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/qwen3_30ba3b_pard2_cat_artifacts/checkpoints/PARD-Qwen3-0.6B_qwen30ba3b_math_k5_cat_tpp_mask_1024_resume_20260605_173358/checkpoint-32,551.2971052169996,34.45606907606248,475.5040386015011,475.5040386015011,1.6482350697693375,True,34.78020256865407,2.739010128432703,1.7390101284327033,95770,478850,166545,"69.5531,44.7812,28.5465,18.5789,12.4413",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_fulltest_pard_offset0_n256_isl4096_osl1024_bs8_16_k5_20260611/breakdown.json
3264024_swebench_fulltest_suffix,qwen30ba3b_swebench_fulltest_suffix_offset0_n256_isl4096_osl1024_bs8_16_k32_20260611_arctic,Qwen/Qwen3-30B-A3B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_full_test_prompts_all.jsonl,0,256,256,16,16,4096,1024,1,1,1,True,suffix,,32,,605.2228977009945,37.82643110631216,433.13628911890595,433.13628911890595,1.5013761477509313,True,31.922066893429268,2.1234802524181955,1.1234802524181955,123129,433346,138333,"44.1967,22.6169,12.0703,7.3752,5.3570,4.1193,3.5686,3.0464,2.8336,2.5924,2.4056,2.1660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_fulltest_suffix_offset0_n256_isl4096_osl1024_bs8_16_k32_20260611_arctic/breakdown.json
3264042_swebench_fulltest_qwen30ba3b,qwen30ba3b_swebench_fulltest_pld_offset0_n256_isl4096_osl1024_bs8_16_k5_n4_20260611_pld,Qwen/Qwen3-30B-A3B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_full_test_prompts_all.jsonl,0,256,256,16,16,4096,1024,1,1,1,True,ngram,,5,,826.109876195027,51.63186726218919,317.3234064303976,317.3234064303976,1.0999350677977586,True,35.05795847750865,2.752670501232539,1.752670501232539,23123,115600,40527,"60.0701,41.2187,30.7010,23.8334,19.4438",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_fulltest_pld_offset0_n256_isl4096_osl1024_bs8_16_k5_n4_20260611_pld/breakdown.json
3264086_swebench_lite_suffix,qwen30ba3b_swebench_lite_suffix_offset0_n64_isl4096_osl1024_bs8_16_k32_20260611_arctic,Qwen/Qwen3-30B-A3B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_lite_prompts_64.jsonl,0,64,64,8,8,4096,1024,1,1,1,True,suffix,,32,,261.203875125997,32.650484390749625,250.89979989151146,250.89979989151146,1.7186433066371833,True,28.701168261352223,1.7329301547018008,0.7329301547018008,37039,94585,27147,"36.5615,15.3217,6.6281,3.5962,2.5919,1.8548,1.6037,1.2122,1.1042,1.0232,0.9638,0.8316,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_lite_suffix_offset0_n64_isl4096_osl1024_bs8_16_k32_20260611_arctic/breakdown.json
3264223_swebench_lite_or_pilot_baseline,qwen30ba3b_swebench_lite_baseline_offset0_n64_isl4096_osl1024_bs8_16_20260611_n64,Qwen/Qwen3-30B-A3B,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_lite_prompts_64.jsonl,0,64,64,8,8,4096,1024,1,1,1,False,,,,,448.91629165298946,56.11453645662368,145.98712770856415,145.98712770856415,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_swebench_lite_baseline_offset0_n64_isl4096_osl1024_bs8_16_20260611_n64/breakdown.json
