label,job_id,mode,k,status,nodes,gpus_per_node,generation_tp,draft_tp,train_tp,train_pp,train_cp,train_ep,max_steps,completed_steps,baseline_generation_time_s,observed_generation_time_s,observed_generation_speedup,acceptance_rate_pct,latest_evidence,log_path
baseline_fixed256_step20,3207511,no_specdec,0,failed_after_step15,32,4,4,0,2,8,2,16,20,15,34.77,,,,"Step2+ avg total 76.59s, generation 34.77s, E2E 9.99 tok/s/GPU, generation 21.99 tok/s/GPU; reached Step16 then NCCL/actor death",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3207511-logs/ray-driver.log
public_pard_k3_tp4_step1,3207654,public_pard,3,failed_after_step1,32,4,4,4,2,8,2,16,20,1,34.77,26.64,1.31,66.65,"Step1 only; failed at Step2 due Ray host-memory pressure, so not a valid E2E result",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3207654-logs/ray-driver.log
public_pard_k5_tp4_step1,3207655,public_pard,5,failed_after_step1,32,4,4,4,2,8,2,16,20,1,34.77,26.30,1.32,50.8,"Step1 only; failed at Step2 due Ray host-memory pressure, so not a valid E2E result",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3207655-logs/ray-driver.log
public_pard_localhf_k3,3208028,public_pard,3,failed_after_step1_host_memory_oom,32,4,4,4,2,8,2,16,5,1,34.77,27.99,1.24,60.6,"Local HF target path fixed previous weight lookup failure and emitted Step1. Step1 total 293.60s, generation 27.99s, E2E 2.52 tok/s/GPU, gen 26.45 tok/s/GPU. Failed at Step2 because Ray killed a policy worker after node RAM reached 879.87/920GB; top users were 4 vLLM RayWorkerWrapper processes at ~150GB each plus 4 MegatronPolicyWorker processes at ~63GB each.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3208028-logs/ray-driver.log
public_pard_localhf_k5_raywait,3208066,public_pard,5,failed_after_step1_host_memory_oom,32,4,4,4,2,8,2,16,5,1,34.77,25.91,1.34,53.35,"Replacement for 3208029 Ray startup timeout; RAY_raylet_start_wait_time_s=180 fixed worker startup and the job emitted Step1. Step1 total 283.95s, generation 25.91s, E2E 2.61 tok/s/GPU, gen 28.57 tok/s/GPU. It then failed at Step2 with the same Ray host-memory OOM pattern as K3 TP4: node RAM around 879.95/920GB, dominated by vLLM RayWorkerWrapper processes plus MegatronPolicyWorker/offload_before_refit processes.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3208066-logs/ray-driver.log
baseline_tp8_fixed256,3208890,no_specdec,0,completed_with_shutdown_recvbytes_noise,32,4,8,0,2,8,2,16,5,5,,35.4375,,,"TP8 no-spec baseline completed 5/5 metrics. Step2-5 avg total 77.84s, generation 35.44s, E2E 9.16 tok/s/GPU, generation 20.06 tok/s/GPU, generation fraction 45.53%. Shutdown emitted recvBytes messages after metrics, but no step metric was missing. Caveat: TP8 exceeds 4 GPUs/node and vLLM warns tensor-parallel workers are spread across nodes, so this is a memory-operability probe, not the cleanest performance baseline.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3208890-logs/ray-driver.log
public_pard_k3_tp8_fixed256,3208891,public_pard,3,failed_after_step4_step5_actor_died,32,4,8,8,2,8,2,16,5,4,35.4375,22.3333,1.587,58.20,"TP8 PARD K3 emitted Step1-4 metrics and Step5 acceptance buckets, but no Step5 total. Step2-4 avg vs TP8 baseline Step2-5 avg: total step 69.56s vs 77.84s = 1.119x faster, generation time 22.33s vs 35.44s = 1.587x faster, E2E throughput 10.38 vs 9.16 tok/s/GPU = 1.133x faster, generation throughput 31.38 vs 20.06 tok/s/GPU = 1.564x faster. Acceptance samples avg 58.20%. Step5 ended with VllmGenerationWorker ActorDied/NCCL timeout signatures, so TP8 is only a partial cross-node TP operability signal. The clean final branch is non-colocated TP4.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3208891-logs/ray-driver.log
baseline_noncolocated_tp4_fixed256,3209047,no_specdec,0,completed_metrics,36,4,4,0,2,8,2,16,5,5,,57.7675,,,"Submitted after TP4 colocated host-memory OOM and TP8 cross-node caveat. Shape is 32 train nodes plus 4 generation-only nodes, fixed decode 256, GBS256, generation TP4. Driver confirms cluster.num_nodes=36, policy.generation.colocated.enabled=false, generation resources num_nodes=4/gpus_per_node=4, and parallel worker initialization in non-colocated mode. Step2-5 avg total 92.75s, generation 57.77s, E2E 6.88 tok/s/GPU, generation 98.33 tok/s/GPU; baseline generation fraction 62.29%. Shutdown emitted recvBytes noise after metrics.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3209047-logs/ray-driver.log
public_pard_k3_noncolocated_tp4_fixed256,3209048,public_pard,3,completed_metrics,36,4,4,4,2,8,2,16,5,5,57.7675,30.6075,1.887,57.58,"Submitted after TP4 colocated host-memory OOM and TP8 cross-node caveat. Shape is 32 train nodes plus 4 generation-only nodes, fixed decode 256, GBS256, generation TP4, draft TP4, always-on PARD. Driver confirms non-colocated resources and speculative_config method=draft_model with num_speculative_tokens=3/draft_tensor_parallel_size=4/parallel_drafting=true. Step2-5 avg total 65.25s, generation 30.61s, E2E 9.77 tok/s/GPU, generation 185.62 tok/s/GPU. Acceptance avg 57.58% from 20 emitted samples. Against baseline Step2-5 avg this is 1.421x total-step speedup, 1.887x generation-time speedup, 1.420x E2E throughput speedup, and 1.888x generation-throughput speedup.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3209048-logs/ray-driver.log
baseline_noncolocated_tp4_fixed1024_step3,3209170,no_specdec,0,completed_with_shutdown_recvbytes_noise,36,4,4,0,2,8,2,16,3,3,,227.5400,,,"First Qwen3-235B decode-heavy ramp beyond the validated fixed256 result. Shape is 32 train nodes plus 4 generation-only nodes, fixed decode 1024, GBS256, generation TP4, max_model_len 8192, max_num_seqs 32, max_num_batched_tokens 16384, gpu_memory_utilization 0.70, NeMo-RL latest-main worker venv with vLLM 0.20.0. Step2-3 avg total 267.55s, generation 227.54s, E2E 7.36 tok/s/GPU, generation 77.86 tok/s/GPU; Step2-3 baseline generation fraction 85.05%. Shutdown emitted recvBytes messages after metrics.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3209170-logs/ray-driver.log
