label,domain,temperature,top_p,top_k,tag,model,method,k,prompt_jsonl,prompt_offset,prompt_count_loaded,prompt_count_used,num_batches,batch_size,isl,osl,tp,pp,total_gpus,spec_active,spec_method,parallel_drafting,num_speculative_tokens,draft_model,latency_s,mean_latency_s,output_tok_s,output_tok_s_per_gpu,speedup_vs_baseline,metrics_available,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,num_drafts,num_draft_tokens,num_accepted_tokens,acceptance_rate_by_position_pct,breakdown_json,source
oci_qwen8_math_t00_baseline_log_provisional,math,0.0,1.0,-1,qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616,Qwen/Qwen3-8B,baseline,0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_20260613.jsonl,0,4,1,1,1,4096,32768,1,1,1,False,,,,,1889.7347174163783,1889.7347174163783,17.34,17.34,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/baseline/breakdown.json,driver_log_provisional
oci_qwen8_math_t00_pard3_log_provisional,math,0.0,1.0,-1,qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616,Qwen/Qwen3-8B,pard,3,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_20260613.jsonl,0,4,1,1,1,4096,32768,1,1,1,True,draft_model,True,3,amd/PARD-Qwen3-0.6B,996.8968664435656,996.8968664435656,32.87,32.87,1.8956170703575546,True,54.0,2.62,1.6210526315789473,95.0,285,154,"87.4000,62.1000,12.6000",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/pard_k3/breakdown.json,driver_log_provisional
oci_qwen8_math_t00_pard5_log_provisional,math,0.0,1.0,-1,qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616,Qwen/Qwen3-8B,pard,5,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_20260613.jsonl,0,4,1,1,1,4096,32768,1,1,1,True,draft_model,True,5,amd/PARD-Qwen3-0.6B,836.1316662413882,836.1316662413882,39.19,39.19,2.2600922722029986,True,32.8,2.64,1.64,100.0,500,164,"88.0000,63.0000,13.0000,0.0000,0.0000",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_math_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/pard_k5/breakdown.json,driver_log_provisional
oci_qwen8_math_t10_baseline_log_provisional,math,1.0,1.0,-1,qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616,Qwen/Qwen3-8B,baseline,0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_20260613.jsonl,0,4,1,1,1,4096,32768,1,1,1,False,,,,,2044.167186525265,2044.167186525265,16.03,16.03,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/baseline/breakdown.json,driver_log_provisional
oci_qwen8_math_t10_pard3_log_provisional,math,1.0,1.0,-1,qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616,Qwen/Qwen3-8B,pard,3,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_20260613.jsonl,0,4,1,1,1,4096,32768,1,1,1,True,draft_model,True,3,amd/PARD-Qwen3-0.6B,1644.154540893126,1644.154540893126,19.93,19.93,1.2432938240798501,True,11.7,1.35,0.35,100.0,300,35,"27.0000,6.0000,2.0000",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/pard_k3/breakdown.json,driver_log_provisional
oci_qwen8_math_t10_pard5_log_provisional,math,1.0,1.0,-1,qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616,Qwen/Qwen3-8B,pard,5,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_20260613.jsonl,0,4,1,1,1,4096,32768,1,1,1,True,draft_model,True,5,amd/PARD-Qwen3-0.6B,826.8483472117083,826.8483472117083,39.63,39.63,2.472239550842171,True,35.0,2.75,1.7524752475247525,101.0,505,177,"80.2000,63.4000,22.8000,8.9000,0.0000",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/pard_k5/breakdown.json,driver_log_provisional
oci_qwen8_swe_t00_baseline_log_provisional,swe,0.0,1.0,-1,qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616,Qwen/Qwen3-8B,baseline,0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_verified_prompts_all.jsonl,0,4,1,1,1,4096,32768,1,1,1,False,,,,,1902.9036004645761,1902.9036004645761,17.22,17.22,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/baseline/breakdown.json,driver_log_provisional
oci_qwen8_swe_t00_pard3_log_provisional,swe,0.0,1.0,-1,qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616,Qwen/Qwen3-8B,pard,3,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_verified_prompts_all.jsonl,0,4,1,1,1,4096,32768,1,1,1,True,draft_model,True,3,amd/PARD-Qwen3-0.6B,1142.5383542538355,1142.5383542538355,28.68,28.68,1.6655052264808363,True,32.3,1.97,0.9693877551020408,98.0,294,95,"62.2000,27.6000,7.1000",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/pard_k3/breakdown.json,driver_log_provisional
oci_qwen8_swe_t00_pard5_log_provisional,swe,0.0,1.0,-1,qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616,Qwen/Qwen3-8B,pard,5,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_verified_prompts_all.jsonl,0,4,1,1,1,4096,32768,1,1,1,True,draft_model,True,5,amd/PARD-Qwen3-0.6B,986.0969003912129,986.0969003912129,33.23,33.23,1.929732868757259,True,19.4,1.97,0.9693877551020408,98.0,490,95,"61.2000,26.5000,7.1000,1.0000,1.0000",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/pard_k5/breakdown.json,driver_log_provisional
oci_qwen8_swe_t10_baseline_log_provisional,swe,1.0,1.0,-1,qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616,Qwen/Qwen3-8B,baseline,0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_verified_prompts_all.jsonl,0,4,1,1,1,4096,32768,1,1,1,False,,,,,1984.7365233192004,1984.7365233192004,16.51,16.51,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/baseline/breakdown.json,driver_log_provisional
oci_qwen8_swe_t10_pard3_log_provisional,swe,1.0,1.0,-1,qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616,Qwen/Qwen3-8B,pard,3,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_verified_prompts_all.jsonl,0,4,1,1,1,4096,32768,1,1,1,True,draft_model,True,3,amd/PARD-Qwen3-0.6B,1365.3333333333333,1365.3333333333333,24.0,24.0,1.45366444579043,True,30.8,1.92,0.9242424242424242,66.0,198,61,"62.1000,22.7000,7.6000",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/pard_k3/breakdown.json,driver_log_provisional
oci_qwen8_swe_t10_pard5_log_provisional,swe,1.0,1.0,-1,qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616,Qwen/Qwen3-8B,pard,5,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_verified_prompts_all.jsonl,0,4,1,1,1,4096,32768,1,1,1,True,draft_model,True,5,amd/PARD-Qwen3-0.6B,611.4573614480313,611.4573614480313,53.59,53.59,3.245911568746214,True,99.4,5.97,4.96969696969697,99.0,495,492,"100.0000,100.0000,100.0000,99.0000,98.0000",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r3/qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616/pard_k5/breakdown.json,driver_log_provisional
