label,tag,model,prompt_jsonl,prompt_offset,prompt_count_loaded,prompt_count_used,num_batches,batch_size,isl,osl,tp,pp,total_gpus,spec_active,spec_method,parallel_drafting,num_speculative_tokens,draft_model,latency_s,mean_latency_s,output_tok_s,output_tok_s_per_gpu,speedup_vs_baseline,metrics_available,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,num_drafts,num_draft_tokens,num_accepted_tokens,acceptance_rate_by_position_pct,breakdown_json
math500_osl32k_qwen235b_eagle3_k3,qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260613_math,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,4,1,4,True,eagle3,,3,nvidia/Qwen3-235B-A22B-Eagle3,5292.7914281081175,1323.1978570270294,24.76424808729919,6.191062021824798,,True,69.41583180471285,3.082474954141386,2.082474954141386,42522,127566,88551,"91.4609,74.7237,42.0629",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260613_math/breakdown.json
math500_osl32k_qwen235b_pard_k5,qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260613_math,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,4,1,4,True,draft_model,True,5,amd/PARD-Qwen3-0.6B,5193.04816276615,1298.2620406915375,25.23989685668208,6.30997421417052,,True,56.096258236813846,3.804812911840692,2.804812911840692,34449,172245,96623,"92.2959,74.8788,50.9507,36.0214,26.3346",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260613_math/breakdown.json
math500_osl32k_qwen235b_suffix_k32,qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260613_math,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,4,1,4096,32768,4,1,4,True,suffix,,32,,2050.0128155860584,512.5032038965146,63.937161272101164,15.984290318025291,,True,83.79409382134178,7.817495506291192,6.817495506291192,16690,135790,113784,"74.5357,66.6087,63.2954,61.9173,61.3301,53.8945,53.7268,53.3313,50.5273,50.4194,46.1174,46.0455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260613_math/breakdown.json
math500_osl32k_qwen235b_eagle3_k3,qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260613_math,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,2,2,4096,32768,4,1,4,True,eagle3,,3,nvidia/Qwen3-235B-A22B-Eagle3,2729.866458112956,1364.933229056478,48.01407028921285,12.003517572303213,,True,69.74386800984578,3.0923160402953735,2.0923160402953735,42387,127161,88687,"93.7127,74.7871,40.7318",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_eagle3_offset0_n4_isl4096_osl32768_bs1_2_k3_20260613_math/breakdown.json
math500_osl32k_qwen235b_pard_k5,qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260613_math,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,2,2,4096,32768,4,1,4,True,draft_model,True,5,amd/PARD-Qwen3-0.6B,3094.000359773985,1547.0001798869926,42.36327884899623,10.590819712249058,,True,50.07886224503435,3.5039431122517177,2.5039431122517177,37407,187035,93665,"89.2373,70.8236,45.0584,27.4601,17.8148",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_pard_offset0_n4_isl4096_osl32768_bs1_2_k5_20260613_math/breakdown.json
math500_osl32k_qwen235b_suffix_k32,qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260613_math,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/math_500_data_prompts_20260612.jsonl,0,4,4,2,2,4096,32768,4,1,4,True,suffix,,32,,1018.4156652519014,509.2078326259507,128.701869454826,32.1754673637065,,True,88.71337013867088,8.710948419301165,7.710948419301165,15025,130597,115857,"77.8968,70.9351,67.1414,65.0116,62.9218,62.1364,61.6040,61.1647,60.9318,60.5923,60.4925,60.2662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_math500_osl32k_lyris_tp4_fp8kv_suffix_offset0_n4_isl4096_osl32768_bs1_2_k32_arctic_20260613_math/breakdown.json
full_osl32k_qwen235b_eagle3_k11,qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_eagle3_offset0_n2_isl4096_osl32768_bs2_k11_20260613,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_full_test_prompts_all.jsonl,0,2,2,1,2,4096,32768,4,1,4,True,eagle3,,11,nvidia/Qwen3-235B-A22B-Eagle3,1662.9762404080248,1662.9762404080248,39.408861297934244,9.852215324483561,,True,17.275422723048514,2.9002964995353366,1.9002964995353366,22597,248567,42941,"89.3481,60.3974,28.9507,7.6692,2.8942,0.5266,0.2257,0.0177,0.0000,0.0000,0.0000",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_eagle3_offset0_n2_isl4096_osl32768_bs2_k11_20260613/breakdown.json
full_osl32k_qwen235b_eagle3_k9,qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_eagle3_offset0_n2_isl4096_osl32768_bs2_k9_20260613,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_full_test_prompts_all.jsonl,0,2,2,1,2,4096,32768,4,1,4,True,eagle3,,9,nvidia/Qwen3-235B-A22B-Eagle3,1918.1617590819951,1918.1617590819951,34.16604449009795,8.541511122524488,,True,19.15052780317513,2.723547502285762,1.7235475022857618,24062,216558,41472,"95.3537,39.0200,27.2671,7.1274,3.0588,0.4696,0.0499,0.0083,0.0000",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_eagle3_offset0_n2_isl4096_osl32768_bs2_k9_20260613/breakdown.json
full_osl32k_qwen235b_pard2_k11,qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_pard2_offset0_n2_isl4096_osl32768_bs2_k11_20260613,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_full_test_prompts_all.jsonl,0,2,2,1,2,4096,32768,4,1,4,True,pard2,True,11,amd/PARD2-Qwen3-8B,4456.034615778015,4456.034615778015,14.707246610685843,3.6768116526714607,,True,1.8513756749807149,1.2036513242478786,0.20365132424787863,54446,598906,11088,"14.6255,2.1985,1.2085,0.7457,0.4996,0.3637,0.2571,0.1837,0.1322,0.0918,0.0588",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_pard2_offset0_n2_isl4096_osl32768_bs2_k11_20260613/breakdown.json
full_osl32k_qwen235b_pard2_k9,qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_pard2_offset0_n2_isl4096_osl32768_bs2_k9_20260613,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_full_test_prompts_all.jsonl,0,2,2,1,2,4096,32768,4,1,4,True,pard2,True,9,amd/PARD2-Qwen3-8B,4354.035200870945,4354.035200870945,15.051784603599604,3.762946150899901,,True,5.088122605363984,1.4579310344827587,0.4579310344827586,44950,404550,20584,"38.5273,4.3715,1.7731,0.4294,0.2759,0.1669,0.1090,0.0801,0.0601",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_pard2_offset0_n2_isl4096_osl32768_bs2_k9_20260613/breakdown.json
full_osl32k_qwen235b_pard_k11,qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_pard_offset0_n2_isl4096_osl32768_bs2_k11_20260613,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_full_test_prompts_all.jsonl,0,2,2,1,2,4096,32768,4,1,4,True,draft_model,True,11,amd/PARD-Qwen3-0.6B,2098.1688396899262,2098.1688396899262,31.234855251060306,7.808713812765077,,True,17.940521366111202,2.9734573502722323,1.9734573502722323,22040,242440,43495,"78.2940,47.1325,28.4165,16.1434,10.1724,6.8829,4.4102,2.7042,1.6515,0.9710,0.5672",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_pard_offset0_n2_isl4096_osl32768_bs2_k11_20260613/breakdown.json
full_osl32k_qwen235b_pard_k9,qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_pard_offset0_n2_isl4096_osl32768_bs2_k9_20260613,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_full_test_prompts_all.jsonl,0,2,2,1,2,4096,32768,4,1,4,True,draft_model,True,9,amd/PARD-Qwen3-0.6B,2650.942036072025,2650.942036072025,24.72177780888281,6.180444452220702,,True,16.248147452355603,2.4623332707120045,1.4623332707120045,26615,239535,38920,"68.5628,39.9737,16.7950,9.7764,7.8903,1.4879,0.9168,0.5298,0.3006",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_pard_offset0_n2_isl4096_osl32768_bs2_k9_20260613/breakdown.json
