source_file,file_rows,candidate_rows,domain,model,method_or_methods,batch_sizes,isl,osl,temp,cluster_or_origin,represented_in_clean_status,recommended_action,notes
docs/lyris_qwen235b_standalone_fast_20260613_metrics.csv,86,6,Math,Qwen3-235B-A22B,eagle3_k3;pard_k5;suffix_k32,1/2,4096,32768,0.0 inferred,Lyris,"yes: archived_qwen235b_math rows in clean status",ignore,"Clean status already carries these Math temp0 acceptance/tok-s rows with no matched baseline because job 2113223 timed out."
docs/lyris_qwen235b_standalone_fast_20260613_metrics.csv,86,80,SWE,Qwen3-235B-A22B,eagle3_k9/eagle3_k11;pard_k9/pard_k11;pard2_k9/pard2_k11;suffix_k8/suffix_k16,2/4/8/16/32,4096,32768,0.0 inferred,Lyris,"partial: source file cited but these SWE high-k row groups are absent",include in clean report,"Fast artifact requested by audit. Rows have final tok/s and acceptance for larger batches but no matched baseline row in the same file, so include only as archived supplemental/high-k evidence."
docs/lyris_qwen235b_standalone_temp1rl_20260614_metrics.csv,96,6,Math,Qwen3-235B-A22B,eagle3_k3;pard_k5;suffix_k32,1/2,4096,32768,1.0,Lyris,"yes: archived_qwen235b_temp1 rows in clean status",ignore,"Clean status already includes these Math temp1 acceptance/tok-s rows with no matched baseline because job 2124147 timed out."
docs/lyris_qwen235b_standalone_temp1rl_20260614_metrics.csv,96,90,SWE,Qwen3-235B-A22B,baseline;eagle3_k9/eagle3_k11;pard_k9/pard_k11;pard2_k9/pard2_k11;suffix_k8/suffix_k16,2/4/8/16/32,4096,32768,1.0,Lyris,"no in clean status; yes in clean_supplemental/clean_results for spec groups",include in clean report,"Temp1 artifact requested by audit. Clean status cites the file but omits these SWE high-k/baseline row groups; clean_results has aggregate supplemental spec rows."
docs/lyris_qwen235b_swebench_osl32k_batch_sweep_metrics_20260612.csv,20,20,SWE,Qwen3-235B-A22B,eagle3_k3;suffix_k32,2/4/8/16/32,4096,32768,0.0 inferred,Lyris,"yes: represented as older_batch_sweep aggregate rows",ignore,"Clean status summarizes full and verified splits for batch 4/8/16/32. Raw file also includes batch2 rows that are not individually listed."
docs/lyris_qwen235b_swebench_osl32k_batch_sweep_speedups_20260612.csv,20,20,SWE,Qwen3-235B-A22B,eagle3_k3;suffix_k32,2/4/8/16/32,4096,32768,0.0 inferred,Lyris,"partial: underlying metrics represented, provisional speedup rows absent",include in clean report,"Derived speedup file uses final spec rows plus live baseline telemetry. Include only with provisional/live-baseline caveat if clean report wants larger-batch speedups."
docs/lyris_swebench_osl32k_batch_sweep_metrics_20260612.csv,6,6,SWE,Qwen3-8B;Qwen3-30B-A3B,suffix_k32,4/8/16,4096,32768,0.0 inferred,Lyris,"partial: mentioned as early partial file, rows not listed",include in clean report,"Older Qwen8/Qwen30 batch sweep requested by audit. Include as partial larger-batch suffix evidence with caveat that many jobs were still running or later replaced."
docs/lyris_swebench_longosl_metrics_20260612.csv,95,95,SWE,Qwen3-8B;Qwen3-30B-A3B,baseline;eagle3_k3;pard_k5;pard2_k5;suffix_k32,1/2/4/8/16/32,4096,16384/32768/65536/98304/131072,0.0 inferred,Lyris,no,include in clean report,"LongOSL artifact requested by audit. Include as archived long-output and larger-batch evidence; keep OSL32768 rows separate from OSL16k/64k/96k/128k rows."
docs/lyris_specdec_32k_metrics_20260612.csv,64,64,SWE,Qwen3-8B;Qwen3-14B;Qwen3-30B-A3B;Qwen3-235B-A22B,baseline;eagle3_k1/k3/k5/k9/k11;pard_k5/k9/k11;pard2_k5/k9/k11;suffix_k1/k2/k4/k5/k8/k32,1/2/4,4096,32768,0.0 inferred,Lyris,no,include in clean report,"32k artifact requested by audit. It is older and mixed-model, but contains unique Qwen8/Qwen30/Qwen235B OSL32k rows not in clean status."
docs/lyris_math500_osl32k_metrics_20260612.csv,16,16,Math,Qwen3-8B;Qwen3-30B-A3B,baseline;eagle3_k3;pard_k3/pard_k5;pard2_k3/pard2_k5;suffix_k32,1/2,4096,32768,0.0 inferred,Lyris,"no row-level; superseded by latest 20260616 Math temp matrix",archive as superseded,"Older Math500 OSL32k rows are same primary cells later rerun in the temp0/temp1 matrix. Archive rather than include in current clean status."
docs/lyris_qwen235b_math500_osl32k_specdec_metrics_20260613.csv,0,0,Math,Qwen3-235B-A22B,none parseable,none,4096,32768,0.0 inferred,Lyris,no,ignore,"Metrics file is empty. Pairing status file has launch/status provenance but no final metric rows."
docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics.csv,10,10,SWE,Qwen3-235B-A22B,eagle3_k3;suffix_k32,1/2,4096,32768,0.0,Lyris,"superseded by metrics_live source used in clean status",archive as superseded,"Intermediate core-matrix extract. The clean status uses the later live metrics file."
docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_partial_metrics.csv,49,49,SWE,Qwen3-235B-A22B;Qwen3-30B-A3B;Qwen3-32B,baseline;eagle3_k3;suffix_k32,1/2,4096,32768,0.0/1.0 inferred,Lyris,"superseded by metrics_live source used in clean status",archive as superseded,"Partial/intermediate core matrix with duplicate retry rows and some blank speedups. Keep as provenance only."
docs/lyris_swebench_osl32k_temp01_home_retry_metrics_live_20260616.csv,25,25,SWE,Qwen3-235B-A22B;Qwen3-30B-A3B;Qwen3-32B,baseline;eagle3_k3;suffix_k32,1/2,4096,32768,0.0/1.0 inferred,Lyris,"represented through merged core_matrix metrics_live",archive as superseded,"Home-retry shard was folded into the merged live metrics file that clean status uses."
docs/oci_hsg_qwen8_pard1_standalone_temp01_20260616_metrics.csv,0,0,Math/SWE,Qwen3-8B,none parseable,none,4096,32768,0.0/1.0,OCI,no,ignore,"Initial OCI Qwen8 PARD1 metrics file is empty."
docs/oci_hsg_qwen8_pard1_standalone_temp01_20260616_r2_metrics.csv,0,0,Math/SWE,Qwen3-8B,none parseable,none,4096,32768,0.0/1.0,OCI,no,ignore,"Retry r2 metrics file is empty."
docs/oci_hsg_qwen8_pard1_standalone_temp01_20260616_r3_metrics.csv,12,12,Math/SWE,Qwen3-8B,baseline;pard_k3;pard_k5,1,4096,32768,0.0/1.0,OCI,"no; superseded by r4_noprof",archive as superseded,"Partial bs1-only OCI Qwen8 PARD1 result. Use r4_noprof instead."
docs/oci_hsg_qwen8_pard1_standalone_temp01_20260616_r4_noprof_metrics.csv,24,24,Math/SWE,Qwen3-8B,baseline;pard_k3;pard_k5,1/2,4096,32768,0.0/1.0,OCI,"no in clean status; yes in clean_supplemental/clean_results",include in clean report,"OCI-vs-Lyris standalone metric requested by audit. Add to clean status supplemental section or explicitly cross-reference the existing clean_supplemental rows."
