label,tag,model,prompt_jsonl,prompt_offset,prompt_count_loaded,prompt_count_used,num_batches,batch_size,isl,osl,tp,pp,total_gpus,spec_active,spec_method,parallel_drafting,num_speculative_tokens,draft_model,latency_s,mean_latency_s,output_tok_s,output_tok_s_per_gpu,speedup_vs_baseline,metrics_available,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,num_drafts,num_draft_tokens,num_accepted_tokens,acceptance_rate_by_position_pct,breakdown_json
qwen14_baseline,qwen3_14b_swebench_verified_osl32k_lyris_pard2_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260611,Qwen/Qwen3-14B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,4,4,4,1,4096,32768,1,1,1,False,,,,,3865.5966253448278,966.3991563362069,33.907314369177826,33.907314369177826,1.0,False,,,,,,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_14b_swebench_verified_osl32k_lyris_pard2_baseline_offset0_n4_isl4096_osl32768_bs1_2_20260611/breakdown.json
qwen14_pard2_k11,qwen3_14b_swebench_verified_osl32k_lyris_pard2_highk_pard2_offset0_n4_isl4096_osl32768_bs1_2_k11_20260611,Qwen/Qwen3-14B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,4,4,4,1,4096,32768,1,1,1,True,draft_model,True,11,amd/PARD2-Qwen3-14B,7830.089406726023,1957.5223516815058,16.739527889350732,16.739527889350732,0.49368486418868884,True,1.5776373045860719,1.173540103504468,0.17354010350446789,111686,1228546,19382,"10.0711,2.5312,1.4254,0.9733,0.7127,0.5274,0.4056,0.2964,0.1961,0.1271,0.0877",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_14b_swebench_verified_osl32k_lyris_pard2_highk_pard2_offset0_n4_isl4096_osl32768_bs1_2_k11_20260611/breakdown.json
qwen14_pard2_k5,qwen3_14b_swebench_verified_osl32k_lyris_pard2_pard2_offset0_n4_isl4096_osl32768_bs1_2_k5_20260611,Qwen/Qwen3-14B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,4,4,4,1,4096,32768,1,1,1,True,draft_model,True,5,amd/PARD2-Qwen3-14B,7990.338282328012,1997.584570582003,16.403811123978063,16.403811123978063,0.48378385104098165,True,3.258801817149347,1.1629400908574674,0.16294009085746736,112704,563520,18364,"9.9118,2.6991,1.6344,1.1685,0.8802",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_14b_swebench_verified_osl32k_lyris_pard2_pard2_offset0_n4_isl4096_osl32768_bs1_2_k5_20260611/breakdown.json
qwen14_pard2_k9,qwen3_14b_swebench_verified_osl32k_lyris_pard2_highk_pard2_offset0_n4_isl4096_osl32768_bs1_2_k9_20260611,Qwen/Qwen3-14B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,4,4,4,1,4096,32768,1,1,1,True,draft_model,True,9,amd/PARD2-Qwen3-14B,7873.853579636954,1968.4633949092386,16.64648684082381,16.64648684082381,0.4909408825358246,True,1.9235550463733697,1.1731199541736033,0.1731199541736033,111726,1005534,19342,"10.0997,2.5652,1.4553,0.9917,0.7178,0.5388,0.4269,0.3088,0.2077",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_14b_swebench_verified_osl32k_lyris_pard2_highk_pard2_offset0_n4_isl4096_osl32768_bs1_2_k9_20260611/breakdown.json
qwen14_suffix_k5,qwen3_14b_swebench_verified_osl32k_lyris_suffix_k5_control_suffix_offset0_n4_isl4096_osl32768_bs1_2_k5_arctic_20260611,Qwen/Qwen3-14B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,4,4,4,1,4096,32768,1,1,1,True,suffix,,5,,923.1784382940095,230.79460957350238,141.97905254613065,141.97905254613065,4.187269183288412,True,98.72879816946937,5.878061911170929,4.878061911170929,22290,110132,108732,"98.6362,98.1023,97.6312,97.0345,96.4020",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen3_14b_swebench_verified_osl32k_lyris_suffix_k5_control_suffix_offset0_n4_isl4096_osl32768_bs1_2_k5_arctic_20260611/breakdown.json
qwen235b_baseline,qwen235b_a22b_swev_osl32k_pilot_lyris_tp4_fp8kv_r2_baseline_offset0_n2_isl4096_osl32768_bs1_20260611,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,2,2,2,1,4096,32768,4,1,4,False,,,,,7854.43440931302,3927.21720465651,8.343821666178002,2.0859554165445005,1.0,False,,,,,,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_pilot_lyris_tp4_fp8kv_r2_baseline_offset0_n2_isl4096_osl32768_bs1_20260611/breakdown.json
qwen235b_suffix_k1,qwen235b_a22b_swev_osl32k_suffix_k1_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k1_arctic_20260611,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,2,2,2,1,4096,32768,4,1,4,True,suffix,,1,,4336.401746209012,2168.200873104506,15.112990870205502,3.7782477175513756,1.8112792284938908,True,82.10073229358824,1.8210073229358823,0.8210073229358824,35778,35778,29374,82.1007,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_suffix_k1_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k1_arctic_20260611/breakdown.json
qwen235b_suffix_k2,qwen235b_a22b_swev_osl32k_suffix_k2_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k2_arctic_20260611,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,2,2,2,1,4096,32768,4,1,4,True,suffix,,2,,3192.0752434339956,1596.0376217169978,20.530844357383373,5.132711089345843,2.460604406324494,True,77.91923971449194,2.478355143031041,1.4783551430310409,26288,49876,38863,"78.0813,69.7543",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_suffix_k2_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k2_arctic_20260611/breakdown.json
qwen235b_suffix_k32,qwen235b_a22b_swev_osl32k_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k32_arctic_20260611,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,2,2,2,1,4096,32768,4,1,4,True,suffix,,32,,1299.8675618239213,649.9337809119606,50.41744399563487,12.604360998908717,6.042488204176737,True,82.62983091787439,6.279637310697405,5.279637310697405,10367,66240,54734,"62.2938,50.5546,44.6802,42.6353,41.7286,41.2173,41.0726,40.9183,40.8701,40.7447,40.7061,40.5421,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k32_arctic_20260611/breakdown.json
qwen235b_suffix_k4,qwen235b_a22b_swev_osl32k_suffix_k4_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k4_arctic_20260611,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,2,2,2,1,4096,32768,4,1,4,True,suffix,,4,,2337.8637939809996,1168.9318969904998,28.032428650773923,7.008107162693481,3.3596629664802684,True,75.42565545215159,3.4220588235294116,2.4220588235294116,19040,61141,46116,"71.1765,60.6828,56.2185,54.1282",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_suffix_k4_pilot_lyris_tp4_fp8kv_r2_suffix_offset0_n2_isl4096_osl32768_bs1_k4_arctic_20260611/breakdown.json
