source_file,row_count,row_count_basis,domain,model,method,job_ids,clean_overlap_job_ids,unrepresented_job_ids,represented,clean_source_match,recommended_action,rationale,artifact_date,audit_scope,headers_or_basis
docs/nemorl_clean_results_20260617.csv,29,csv_rows,Math-RL,Qwen3-235B-A22B;Qwen3-32B;Qwen3-30B-A3B;Qwen3-1.7B/17B;Qwen3-8B;Qwen3-17B,online_pard2;online_pard;static_pard2;pard2;pard;eagle3;suffix;baseline;specdec;pard_k3,3231517;3231518;3288181;3288182;3288183;3299487;3299489;3299491;3321180;3321423;3321424;3333526;3333527;3333528;3333531;3333532;3333533;3333536;3333537;3333715;3333716;3333717;3334113;3334218;3334219;3334220;3337769;3344823;3345352,3299487;3299489;3299491;3333526;3333527;3333528;3333531;3333532;3333533;3333536;3333537;3333715;3333716;3333717;3334113;3334218;3334219;3334220;3344823,3231517;3231518;3288181;3288182;3288183;3321180;3321423;3321424;3337769;3345352,partial,no,add to clean integrated report,intermediate clean aggregate has rows absent by job_id from integrated clean report,20260617,representative_sample_20260615_20260617_plus_key_superseded,domain;run_group;model;method;job_id;steps;completed_steps;max_steps;step_span;max_new_tokens;min_tokens;gen_tok_s_per_gpu;e2e_tok_s_per_gpu;generation_time_s;total_step_time_s;gen_speedup_vs_baseline;e2e_speedup_vs_baseline;acceptance_pct;mean_accept_len;draft_training_steps;draft_refit_steps;state;source_group;source_file
docs/oci_hsg_mathrl_multimodel_specdec_step20_live_summary_20260616.csv,16,csv_rows,Math-RL,Qwen3-235B-A22B;Qwen3-32B;Qwen3-30B-A3B;Qwen3-8B,pard2;pard;eagle3;suffix;baseline;specdec;qwen30ba3b_baseline;qwen32_baseline;qwen235b_pard2;qwen30ba3b_eagle3,3333526;3333527;3333528;3333531;3333532;3333533;3333536;3333537;3333715;3333716;3333717;3334113;3334218;3334219;3334220;3337769,3333526;3333527;3333528;3333531;3333532;3333533;3333536;3333537;3333715;3333716;3333717;3334113;3334218;3334219;3334220,3337769,partial,yes,add to clean integrated report,result metric/summary row(s) are absent by job_id from integrated clean report,20260616,representative_sample_20260615_20260617_plus_key_superseded,job_id;label;step_filter;steps;completed_steps;incomplete_steps;first_step;last_step;draft_training_enabled_steps;draft_refit_steps;error_count_sum;vllm_accepted_tokens_sum_weighted;vllm_drafted_tokens_sum_weighted;vllm_token_acceptance_pct;log_path;total_step_time_s_mean;generation_time_s_mean;policy_training_time_s_mean;policy_and_reference_logprobs_time_s_mean;prepare_for_generation_total_s_mean;e2e_tokens_per_sec_per_gpu_mean;generation_worker_tokens_per_sec_per_gpu_mean;policy_training_tokens_per_sec_per_gpu_mean;policy_logprobs_tokens_per_sec_per_gpu_mean
docs/oci_hsg_mathrl_multimodel_specdec_step20_20260616_status_live.csv,28,csv_rows,Math-RL,Qwen3-235B-A22B;Qwen3-32B;Qwen3-30B-A3B,online_pard2;online_pard;pard2;pard;eagle3;suffix;baseline;specdec,3232413;3232414;3232415;3232416;3232417;3232418;3332282;3332283;3333526;3333527;3333528;3333529;3333531;3333532;3333533;3333534;3333535;3333536;3333537;3333538;3333715;3333716;3333717;3334113;3334218;3334219;3334220;3337599,3333526;3333527;3333528;3333531;3333532;3333533;3333535;3333536;3333537;3333715;3333716;3333717;3334113;3334218;3334219;3334220,3232413;3232414;3232415;3232416;3232417;3232418;3332282;3332283;3333529;3333534;3333538;3337599,partial,no,add to clean integrated report,"partially represented; add or explicitly exclude current missing statuses, especially pending 3337599; older ablations are superseded",20260616,representative_sample_20260615_20260617_plus_key_superseded,job_id;job_name;queue_state;acct_state;exit_code;queue_elapsed;acct_elapsed;remaining;reason;start_time;acct_start;acct_end
docs/oci_hsg_mathrl_active_refresh_summary_20260616.csv,4,csv_rows,Math-RL,Qwen3-32B;Qwen3-30B-A3B;Qwen3-14B,online_pard2;online_pard;pard2;pard;baseline;qwen32_online_pard2_gate1;qwen32_baseline;qwen32_pard2_14b_retry;qwen30ba3b_baseline,3334113;3334218;3334219;3337769,3334113;3334218;3334219,3337769,partial,yes,add to clean integrated report,result metric/summary row(s) are absent by job_id from integrated clean report,20260616,representative_sample_20260615_20260617_plus_key_superseded,job_id;label;step_filter;steps;completed_steps;incomplete_steps;first_step;last_step;draft_training_enabled_steps;draft_refit_steps;error_count_sum;vllm_accepted_tokens_sum_weighted;vllm_drafted_tokens_sum_weighted;vllm_token_acceptance_pct;log_path;total_step_time_s_mean;generation_time_s_mean;policy_training_time_s_mean;policy_and_reference_logprobs_time_s_mean;prepare_for_generation_total_s_mean;e2e_tokens_per_sec_per_gpu_mean;generation_worker_tokens_per_sec_per_gpu_mean;policy_training_tokens_per_sec_per_gpu_mean;policy_logprobs_tokens_per_sec_per_gpu_mean
docs/oci_hsg_mathrl_qwen32_online_pard2_hardce_r11_summary_20260616.csv,1,csv_rows,Math-RL,Qwen3-32B,online_pard2;online_pard;pard2;pard;mathrl_qwen32_online_pard2_hardce_r11,3345352,,3345352,no,no,add to clean integrated report,result metric/summary row(s) are absent by job_id from integrated clean report,20260616,representative_sample_20260615_20260617_plus_key_superseded,job_id;label;step_filter;steps;completed_steps;incomplete_steps;first_step;last_step;draft_training_enabled_steps;draft_refit_steps;error_count_sum;vllm_accepted_tokens_sum_weighted;vllm_drafted_tokens_sum_weighted;vllm_token_acceptance_pct;log_path;total_step_time_s_mean;generation_time_s_mean;policy_training_time_s_mean;policy_and_reference_logprobs_time_s_mean;prepare_for_generation_total_s_mean;e2e_tokens_per_sec_per_gpu_mean;generation_worker_tokens_per_sec_per_gpu_mean;policy_training_tokens_per_sec_per_gpu_mean;policy_logprobs_tokens_per_sec_per_gpu_mean
docs/oci_hsg_mathrl_qwen235b_reduced64_temp1_pard_k3k5_summary_step2_10_20260615.csv,3,csv_rows,Math-RL,Qwen3-235B-A22B,pard;baseline;pard_k3;pard_k5,3321180;3321423;3321424,,3321180;3321423;3321424,no,no,add to clean integrated report,result metric/summary row(s) are absent by job_id from integrated clean report,20260615,representative_sample_20260615_20260617_plus_key_superseded,job_id;label;step_filter;steps;completed_steps;incomplete_steps;first_step;last_step;draft_training_enabled_steps;draft_refit_steps;error_count_sum;vllm_accepted_tokens_sum_weighted;vllm_drafted_tokens_sum_weighted;vllm_token_acceptance_pct;log_path;total_step_time_s_mean;generation_time_s_mean;policy_training_time_s_mean;policy_and_reference_logprobs_time_s_mean;prepare_for_generation_total_s_mean;e2e_tokens_per_sec_per_gpu_mean;generation_worker_tokens_per_sec_per_gpu_mean;policy_training_tokens_per_sec_per_gpu_mean;policy_logprobs_tokens_per_sec_per_gpu_mean
docs/oci_hsg_mathrl_qwen235b_main_baseline_fixed256_3342356_summary_20260616.csv,1,csv_rows,Math-RL,Qwen3-235B-A22B,baseline;qwen235b_main_baseline_fixed256_step1,3342356,,3342356,no,no,add to clean integrated report,result metric/summary row(s) are absent by job_id from integrated clean report,20260616,representative_sample_20260615_20260617_plus_key_superseded,job_id;label;step_filter;steps;completed_steps;incomplete_steps;first_step;last_step;draft_training_enabled_steps;draft_refit_steps;error_count_sum;vllm_accepted_tokens_sum_weighted;vllm_drafted_tokens_sum_weighted;vllm_token_acceptance_pct;log_path;total_step_time_s_mean;generation_time_s_mean;policy_training_time_s_mean;policy_and_reference_logprobs_time_s_mean;prepare_for_generation_total_s_mean;e2e_tokens_per_sec_per_gpu_mean;generation_worker_tokens_per_sec_per_gpu_mean;policy_training_tokens_per_sec_per_gpu_mean;policy_logprobs_tokens_per_sec_per_gpu_mean
docs/nemorl_performance_config_resubmit_status_20260617.csv,3,csv_rows,Math-RL,Qwen3-235B-A22B;Qwen3-8B,eagle3;suffix;baseline;specdec;qwen235b-perfcfg-baseline-step20-rerun-20260617;qwen235b-perfcfg-eagle3-step20-rerun-20260617;qwen235b-perfcfg-suffix-step20-rerun-20260617,3333537;3333717;3334220;3365679;3365680;3365681,3333537;3333717;3334220,3365679;3365680;3365681,partial,no,add to clean integrated report,2026-06-17 pending follow-up status row(s) are absent from integrated clean report,20260617,representative_sample_20260615_20260617_plus_key_superseded,submitted_job_id;run_label;model;method;source_failed_job_id;source_state;source_completed_steps;source_max_steps;resubmit_state;queue_reason;run_id;remote_host;account;partition;nodes;gpus_per_node;walltime;base_config;command_basis;speculative_overrides;log_dir;blockers_notes
docs/swerl_suffix_resubmit_status_20260617.csv,1,csv_rows,SWE-RL,Qwen3-30B-A3B;/lustre/fsw/portfolios/llmservice/users/igitman/hf_models/Qwen3-30B-A3B-Thinking-25...,suffix;specdec,3365678,,3365678,no,no,add to clean integrated report,2026-06-17 pending follow-up status row(s) are absent from integrated clean report,20260617,representative_sample_20260615_20260617_plus_key_superseded,checked_at_local;remote_host;account;partition;action;job_id;slurm_state;slurm_reason;sacct_state;model;method;k;run_id;remote_repo;launcher;command_basis;temperature;top_p;top_k;osl_tokens;context_len;max_model_len;max_num_batched_tokens;max_num_seqs
docs/qwen235b_online_pard2_gate1_systempy_r4_status_20260616.md,9,md_table_rows,Math-RL,Qwen3-235B-A22B;Qwen3-32B;Qwen3-30B-A3B;Qwen3-14B,online_pard2;online_pard;pard2;pard;eagle3;suffix;baseline;specdec,3332283;3337599,,3332283;3337599,no,no,add to clean integrated report,primary missing status row is pending job 3337599; job 3332283 is prior r3 context and should be archived,20260616,representative_sample_20260615_20260617_plus_key_superseded,
