date,evidence_level,enforce_eager,model,mode,method,job_id,baseline_job_id,max_osl,temp,top_p,steps,e2e_step_time_speedup,generation_time_speedup,e2e_throughput_speedup,generation_throughput_speedup,acceptance_pct,mean_accept_len,status,wandb_or_run,source,action_note
2026-06-24,explicit,false,Qwen3-30B-A3B,sync,PARD K16,2182146,2182145,4096,1.0,1.0,19/20 step2-20,0.572,0.356,0.573,0.360,12.62,2.90,partial_usable,https://wandb.ai/nvidia/nemo-rl-perfcfg-specdec-lyris/runs/5yg0y4re,tmp/lyris_20260623_current_plus_eagerfalse_summary_skip_step1.csv,"High-priority PARD code path issue: generation throughput is far below baseline despite nontrivial mean accepted length."
2026-06-24,explicit,false,Qwen3-30B-A3B,sync,Suffix K32,2182148,2182145,4096,1.0,1.0,19/20 step2-20,0.758,0.606,0.753,0.604,22.20,2.31,partial_usable,https://wandb.ai/nvidia/nemo-rl-perfcfg-specdec-lyris/runs/egbzz2wt,tmp/lyris_20260623_current_plus_eagerfalse_summary_skip_step1.csv,"Suffix is also below baseline under cudagraph-enabled vLLM; inspect generic SpecDec overhead and scheduler/metrics path."
2026-06-24,explicit,false,Qwen3-32B,sync,PARD K8,2196842,2175017,4096,1.0,1.0,19/20 step2-20,0.908,0.841,0.897,0.837,27.07,3.16,completed,https://wandb.ai/nvidia/nemo-rl-perfcfg-specdec-lyris/runs/ji0n20hg,docs/qwen32_pard_eagerfalse_compare_20260624.csv,"PARD K sweep remains slower than matched baseline; compare PARD engine path with Eagle-3 fast path."
2026-06-24,explicit,false,Qwen3-32B,sync,PARD K12,2196844,2175017,4096,1.0,1.0,7/20 step2-8,0.898,0.826,0.897,0.830,17.86,3.13,running_partial,https://wandb.ai/nvidia/nemo-rl-perfcfg-specdec-lyris/runs/g2knlfxu,docs/qwen32_pard_eagerfalse_compare_20260624.csv,"Partial but already below baseline; keep monitoring and debug if final stays below 1.0x."
2026-06-24,explicit,false,Qwen3-32B,sync,PARD K16,2196588,2175017,4096,1.0,1.0,19/20 step2-20,0.870,0.816,0.853,0.802,12.46,2.99,completed,https://wandb.ai/nvidia/nemo-rl-perfcfg-specdec-lyris/runs/nw0hirdp,docs/qwen32_pard_eagerfalse_compare_20260624.csv,"Worst confirmed Qwen32 PARD false case; investigate draft overhead, CUDA graph coverage, and per-step acceptance degradation."
2026-06-24,unclassified,unknown,Qwen3-30B-A3B,sync,PARD K5,2175012,unknown,4096,1.0,1.0,19/20 step2-20,0.837,0.768,0.841,0.779,unknown,unknown,partial_usable,,docs/lyris_nemorl_qwen30_qwen32_pr2879_step20_speedups_20260622.csv,"Historical slowdown; enforce_eager must be reclassified from log before using as true/false evidence."
2026-06-24,unclassified,unknown,Qwen3-30B-A3B,async-1off,PARD K5,2175016,unknown,4096,1.0,1.0,19/20 step2-20,0.954,,0.947,0.947,unknown,unknown,partial_usable_with_errors,,docs/lyris_nemorl_qwen30_qwen32_pr2879_step20_speedups_20260622.csv,"Historical async slowdown; generation_time unavailable in async log."
2026-06-24,unclassified,unknown,Qwen3-30B-A3B,async-1off,Suffix K32,2175014,unknown,4096,1.0,1.0,19/20 step2-20,0.919,,0.914,0.914,unknown,unknown,partial_usable_with_errors,,docs/lyris_nemorl_qwen30_qwen32_pr2879_step20_speedups_20260622.csv,"Historical suffix slowdown; classify enforce_eager before assigning root cause."
2026-06-24,unclassified,unknown,Qwen3-32B,sync,PARD K5,2175020,2175017,4096,1.0,1.0,19/20 step2-20,0.961,0.907,0.963,0.911,unknown,unknown,partial_usable,,docs/lyris_nemorl_qwen30_qwen32_pr2879_step20_speedups_20260622.csv,"Historical Qwen32 PARD slowdown; aligns with later explicit false K8/K12/K16 trend."
2026-06-24,unclassified,unknown,Qwen3-32B,sync,Suffix K32,2175018,2175017,4096,1.0,1.0,19/20 step2-20,0.724,0.601,0.726,0.605,unknown,unknown,partial_usable,,docs/lyris_nemorl_qwen30_qwen32_pr2879_step20_speedups_20260622.csv,"Historical severe suffix slowdown; keep separate until enforce_eager is verified."
