label,tag,model,prompt_jsonl,prompt_offset,prompt_count_loaded,prompt_count_used,num_batches,batch_size,isl,osl,tp,pp,total_gpus,spec_active,spec_method,parallel_drafting,num_speculative_tokens,draft_model,latency_s,mean_latency_s,output_tok_s,output_tok_s_per_gpu,speedup_vs_baseline,metrics_available,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,num_drafts,num_draft_tokens,num_accepted_tokens,acceptance_rate_by_position_pct,breakdown_json
qwen235b_n16_isl4096_osl1024_baseline,qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_r2_baseline_offset0_n16_isl4096_osl1024_bs1_2_20260611,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,16,16,16,1,4096,1024,4,1,4,False,,,,,2009.7613616088638,125.61008510055399,8.152211657051762,2.0380529142629404,1.0,False,,,,,,,,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_r2_baseline_offset0_n16_isl4096_osl1024_bs1_2_20260611/breakdown.json
qwen235b_n16_isl4096_osl1024_eagle3_k1,qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_eagle3_k1_eagle3_offset0_n16_isl4096_osl1024_bs1_2_k1_20260611,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,16,16,16,1,4096,1024,4,1,4,True,eagle3,,1,nvidia/Qwen3-235B-A22B-Eagle3,1213.3529909381177,75.83456193363236,13.503077935574645,3.375769483893661,1.6563698912177187,True,64.56930344758267,1.6456930344758267,0.6456930344758267,9949,9949,6424,64.5693,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_eagle3_k1_eagle3_offset0_n16_isl4096_osl1024_bs1_2_k1_20260611/breakdown.json
qwen235b_n16_isl4096_osl1024_eagle3_k3,qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_eagle3_k3_eagle3_offset0_n16_isl4096_osl1024_bs1_2_k3_20260611,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,16,16,16,1,4096,1024,4,1,4,True,eagle3,,3,nvidia/Qwen3-235B-A22B-Eagle3,967.2446579001844,60.452791118761525,16.938837414277828,4.234709353569457,2.077821102648326,True,38.98162868751104,2.169448860625331,1.1694488606253313,7548,22644,8827,"63.1691,35.1484,18.6275",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_eagle3_k3_eagle3_offset0_n16_isl4096_osl1024_bs1_2_k3_20260611/breakdown.json
qwen235b_n16_isl4096_osl1024_pard2_k3,qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_pard2_k3_pard2_offset0_n16_isl4096_osl1024_bs1_2_k3_20260611,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,16,16,16,1,4096,1024,4,1,4,True,draft_model,True,3,amd/PARD2-Qwen3-8B,1106.3969937658403,69.14981211036502,14.808427799712131,3.702106949928033,1.8164920665305178,True,38.85510312004231,2.1656530936012692,1.1656530936012692,7564,22692,8817,"61.4225,35.1005,20.0423",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_pard2_k3_pard2_offset0_n16_isl4096_osl1024_bs1_2_k3_20260611/breakdown.json
qwen235b_n16_isl4096_osl1024_pard2_k5,qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_pard2_k5_pard2_offset0_n16_isl4096_osl1024_bs1_2_k5_20260611,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,16,16,16,1,4096,1024,4,1,4,True,draft_model,True,5,amd/PARD2-Qwen3-8B,1061.8135477032047,66.36334673145029,15.430204328660169,3.8575510821650423,1.8927629676190822,True,26.22197151318573,2.3110985756592863,1.3110985756592863,7091,35455,9297,"60.5274,33.9303,18.9677,11.0845,6.5999",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_pard2_k5_pard2_offset0_n16_isl4096_osl1024_bs1_2_k5_20260611/breakdown.json
qwen235b_n16_isl4096_osl1024_pard2_native_k3,qwen235b_a22b_swev_osl1k_nativepard2_lyris_tp4_fp8kv_pard2_offset0_n16_isl4096_osl1024_bs1_2_k3_20260611,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,16,16,16,1,4096,1024,4,1,4,True,pard2,True,3,amd/PARD2-Qwen3-8B,1112.6669712910661,69.54168570569163,14.724980989584939,3.6812452473962347,1.8062559718806677,True,38.85510312004231,2.1656530936012692,1.1656530936012692,7564,22692,8817,"61.4225,35.1005,20.0423",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_nativepard2_lyris_tp4_fp8kv_pard2_offset0_n16_isl4096_osl1024_bs1_2_k3_20260611/breakdown.json
qwen235b_n16_isl4096_osl1024_pard_k3,qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_pard_k3_pard_offset0_n16_isl4096_osl1024_bs1_2_k3_20260611,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,16,16,16,1,4096,1024,4,1,4,True,draft_model,True,3,amd/PARD-Qwen3-0.6B,1071.0634907159838,66.94146816974899,15.296945645162113,3.8242364112905283,1.8764166447923454,True,40.76536843533722,2.222961053060117,1.2229610530601167,7369,22107,9012,"63.0208,37.0335,22.2418",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_pard_k3_pard_offset0_n16_isl4096_osl1024_bs1_2_k3_20260611/breakdown.json
qwen235b_n16_isl4096_osl1024_pard_k5,qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_pard_k5_pard_offset0_n16_isl4096_osl1024_bs1_2_k5_20260611,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,16,16,16,1,4096,1024,4,1,4,True,draft_model,True,5,amd/PARD-Qwen3-0.6B,1023.9854025167879,63.99908765729924,16.00022808892668,4.00005702223167,1.9626855584749554,True,27.95551002487926,2.397775501243963,1.3977755012439632,6833,34165,9551,"62.5201,36.1188,21.2352,12.3811,7.5223",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_pard_k5_pard_offset0_n16_isl4096_osl1024_bs1_2_k5_20260611/breakdown.json
qwen235b_n16_isl4096_osl1024_suffix_k1,qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_suffix_k1_r2_suffix_offset0_n16_isl4096_osl1024_bs1_2_k1_arctic_20260611,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,16,16,16,1,4096,1024,4,1,4,True,suffix,,1,,1445.467748177005,90.34173426106281,11.334739236252883,2.8336848090632207,1.3903882422444462,True,34.903922084759145,1.3490392208475914,0.3490392208475915,11397,11397,3978,34.9039,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_suffix_k1_r2_suffix_offset0_n16_isl4096_osl1024_bs1_2_k1_arctic_20260611/breakdown.json
qwen235b_n16_isl4096_osl1024_suffix_k2,qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_suffix_k2_r2_suffix_offset0_n16_isl4096_osl1024_bs1_2_k2_arctic_20260611,Qwen/Qwen3-235B-A22B,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/data/swebench_verified_prompts_all.jsonl,0,16,16,16,1,4096,1024,4,1,4,True,suffix,,2,,1376.305487563979,86.0190929727487,11.904333847421626,2.9760834618554064,1.4602581910547223,True,29.09881229337578,1.4473832831325302,0.4473832831325301,10624,16334,4753,"32.8125,11.9258",/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_lyris_tp4_fp8kv_suffix_k2_r2_suffix_offset0_n16_isl4096_osl1024_bs1_2_k2_arctic_20260611/breakdown.json
