job_id,dataset,model_group,label,method,method_detail,model,prompt_count,isl,osl,batch_sizes,log_path,latest_prompt_tok_s,latest_generation_tok_s,running_reqs,waiting_reqs,gpu_kv_cache_pct,prefix_cache_hit_pct,live_acceptance_pct,live_mean_acceptance_length,live_accepted_throughput,live_drafted_throughput,completed_batch_rows,last_completed_bs,last_completed_out_tok_s_gpu,last_completed_latency_s,last_completed_coverage_pct,latest_error,tail_status
2109548,full,qwen235b,full_osl32k_qwen235b_baseline,baseline,baseline,Qwen/Qwen3-235B-A22B,2,4096,32768,2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_baseline_offset0_n2_isl4096_osl32768_bs2_20260612/slurm-2109548.out,0.0,16.5,2,0,1.0,50.3,,,,,0,,,,,,ok
2109554,full,qwen235b,full_osl32k_qwen235b_baseline,baseline,baseline,Qwen/Qwen3-235B-A22B,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4_baseline_offset0_n4_isl4096_osl32768_bs4_20260612/slurm-2109554.out,0.0,32.6,4,0,1.7,50.6,,,,,0,,,,,,ok
2109560,full,qwen235b,full_osl32k_qwen235b_baseline,baseline,baseline,Qwen/Qwen3-235B-A22B,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8_baseline_offset0_n8_isl4096_osl32768_bs8_20260612/slurm-2109560.out,0.0,65.6,8,0,3.7,50.8,,,,,0,,,,,,ok
2109567,full,qwen235b,full_osl32k_qwen235b_baseline,baseline,baseline,Qwen/Qwen3-235B-A22B,16,4096,32768,16,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16_baseline_offset0_n16_isl4096_osl32768_bs16_20260612/slurm-2109567.out,0.0,128.8,16,0,7.1,51.4,,,,,0,,,,,,ok
2109576,full,qwen235b,full_osl32k_qwen235b_baseline,baseline,baseline,Qwen/Qwen3-235B-A22B,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32_baseline_offset0_n32_isl4096_osl32768_bs32_20260612/slurm-2109576.out,0.0,258.1,32,0,15.2,51.4,,,,,0,,,,,,ok
2109553,full,qwen235b,full_osl32k_qwen235b_eagle3_k3,eagle3,eagle3_k3,Qwen/Qwen3-235B-A22B,2,4096,32768,2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_eagle3_offset0_n2_isl4096_osl32768_bs2_k3_20260612/slurm-2109553.out,0.0,18.9,1,0,1.5,49.7,64.1,2.92,12.44,19.41,1,2,10.32,1587.891,0.0,,ok
2109558,full,qwen235b,full_osl32k_qwen235b_eagle3_k3,eagle3,eagle3_k3,Qwen/Qwen3-235B-A22B,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4_eagle3_offset0_n4_isl4096_osl32768_bs4_k3_20260612/slurm-2109558.out,0.0,30.8,2,0,2.8,49.6,40.2,2.21,16.84,41.85,1,4,15.62,2097.225,0.0,,ok
2109565,full,qwen235b,full_osl32k_qwen235b_eagle3_k3,eagle3,eagle3_k3,Qwen/Qwen3-235B-A22B,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8_eagle3_offset0_n8_isl4096_osl32768_bs8_k3_20260612/slurm-2109565.out,0.0,14.1,1,0,1.4,1.3,33.3,2.00,7.06,21.18,1,8,29.85,2195.577,0.0,,ok
2109575,full,qwen235b,full_osl32k_qwen235b_eagle3_k3,eagle3,eagle3_k3,Qwen/Qwen3-235B-A22B,16,4096,32768,16,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16_eagle3_offset0_n16_isl4096_osl32768_bs16_k3_20260612/slurm-2109575.out,0.0,17.8,1,0,1.5,50.0,50.0,2.50,10.66,21.32,1,16,63.42,2066.745,0.0,,ok
2109580,full,qwen235b,full_osl32k_qwen235b_eagle3_k3,eagle3,eagle3_k3,Qwen/Qwen3-235B-A22B,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32_eagle3_offset0_n32_isl4096_osl32768_bs32_k3_20260612/slurm-2109580.out,0.0,19.5,1,0,2.1,50.1,57.1,2.71,12.38,21.69,1,32,126.83,2066.869,0.0,,ok
2109552,full,qwen235b,full_osl32k_qwen235b_pard2_k1,pard2,pard2_k1,Qwen/Qwen3-235B-A22B,2,4096,32768,2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_pard2_offset0_n2_isl4096_osl32768_bs2_k1_20260612/slurm-2109552.out,0.0,20.3,2,0,1.1,50.3,48.6,1.49,6.64,13.67,0,,,,,,ok
2109557,full,qwen235b,full_osl32k_qwen235b_pard2_k1,pard2,pard2_k1,Qwen/Qwen3-235B-A22B,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4_pard2_offset0_n4_isl4096_osl32768_bs4_k1_20260612/slurm-2109557.out,0.0,33.3,4,0,1.6,50.6,25.4,1.25,6.74,26.58,0,,,,,,ok
2109564,full,qwen235b,full_osl32k_qwen235b_pard2_k1,pard2,pard2_k1,Qwen/Qwen3-235B-A22B,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8_pard2_offset0_n8_isl4096_osl32768_bs8_k1_20260612/slurm-2109564.out,0.0,87.3,8,0,2.3,50.8,63.2,1.63,33.83,53.49,0,,,,,,ok
2109574,full,qwen235b,full_osl32k_qwen235b_pard2_k1,pard2,pard2_k1,Qwen/Qwen3-235B-A22B,16,4096,32768,16,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16_pard2_offset0_n16_isl4096_osl32768_bs16_k1_20260612/slurm-2109574.out,0.0,168.8,16,0,2.3,51.4,59.9,1.60,63.28,105.56,0,,,,,,ok
2109579,full,qwen235b,full_osl32k_qwen235b_pard2_k1,pard2,pard2_k1,Qwen/Qwen3-235B-A22B,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32_pard2_offset0_n32_isl4096_osl32768_bs32_k1_20260612/slurm-2109579.out,0.0,62.2,10,0,29.8,3.5,4.8,1.05,2.87,59.32,0,,,,,,ok
2109551,full,qwen235b,full_osl32k_qwen235b_pard_k5,pard,pard_k5,Qwen/Qwen3-235B-A22B,2,4096,32768,2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_pard_offset0_n2_isl4096_osl32768_bs2_k5_20260612/slurm-2109551.out,0.0,6.7,1,0,2.3,50.3,5.8,1.29,1.50,25.98,0,,,,,,ok
2109556,full,qwen235b,full_osl32k_qwen235b_pard_k5,pard,pard_k5,Qwen/Qwen3-235B-A22B,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4_pard_offset0_n4_isl4096_osl32768_bs4_k5_20260612/slurm-2109556.out,0.0,34.3,4,0,7.5,50.6,14.1,1.71,14.17,100.40,0,,,,,,ok
2109563,full,qwen235b,full_osl32k_qwen235b_pard_k5,pard,pard_k5,Qwen/Qwen3-235B-A22B,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8_pard_offset0_n8_isl4096_osl32768_bs8_k5_20260612/slurm-2109563.out,0.0,73.3,7,0,12.2,50.8,21.6,2.08,38.03,176.32,0,,,,,,ok
2109572,full,qwen235b,full_osl32k_qwen235b_pard_k5,pard,pard_k5,Qwen/Qwen3-235B-A22B,16,4096,32768,16,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16_pard_offset0_n16_isl4096_osl32768_bs16_k5_20260612/slurm-2109572.out,0.0,81.1,9,0,14.8,51.4,8.2,1.41,23.64,287.23,0,,,,,,ok
2109578,full,qwen235b,full_osl32k_qwen235b_pard_k5,pard,pard_k5,Qwen/Qwen3-235B-A22B,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32_pard_offset0_n32_isl4096_osl32768_bs32_k5_20260612/slurm-2109578.out,0.0,472.6,32,0,50.4,51.4,26.2,2.31,267.95,1023.44,0,,,,,,ok
2109550,full,qwen235b,full_osl32k_qwen235b_suffix_k32,suffix,suffix_k32,Qwen/Qwen3-235B-A22B,2,4096,32768,2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs2_suffix_offset0_n2_isl4096_osl32768_bs2_k32_arctic_20260612/slurm-2109550.out,0.0,97.5,1,0,1.3,50.3,99.8,12.88,89.90,90.10,1,2,25.17,650.830,0.0,,ok
2109555,full,qwen235b,full_osl32k_qwen235b_suffix_k32,suffix,suffix_k32,Qwen/Qwen3-235B-A22B,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs4_suffix_offset0_n4_isl4096_osl32768_bs4_k32_arctic_20260612/slurm-2109555.out,0.0,97.0,1,0,1.3,50.6,96.1,12.51,89.21,92.79,1,4,27.97,1171.501,0.0,,ok
2109561,full,qwen235b,full_osl32k_qwen235b_suffix_k32,suffix,suffix_k32,Qwen/Qwen3-235B-A22B,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs8_suffix_offset0_n8_isl4096_osl32768_bs8_k32_arctic_20260612/slurm-2109561.out,0.0,97.7,1,0,1.3,50.8,98.9,12.82,90.04,91.03,1,8,63.64,1029.768,0.0,,ok
2109570,full,qwen235b,full_osl32k_qwen235b_suffix_k32,suffix,suffix_k32,Qwen/Qwen3-235B-A22B,16,4096,32768,16,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs16_suffix_offset0_n16_isl4096_osl32768_bs16_k32_arctic_20260612/slurm-2109570.out,0.0,92.8,1,0,1.4,51.4,93.1,12.17,85.17,91.51,1,16,110.07,1190.783,0.0,,ok
2109577,full,qwen235b,full_osl32k_qwen235b_suffix_k32,suffix,suffix_k32,Qwen/Qwen3-235B-A22B,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_full_osl32k_bsweep_lyris_tp4_fp8kv_bs32_suffix_offset0_n32_isl4096_osl32768_bs32_k32_arctic_20260612/slurm-2109577.out,0.0,93.1,1,0,1.9,51.4,100.0,13.00,85.94,85.94,1,32,223.15,1174.724,0.0,,ok
2109517,verified,qwen235b,verified_osl32k_qwen235b_baseline,baseline,baseline,Qwen/Qwen3-235B-A22B,2,4096,32768,2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_verified_osl32k_bsweep_lyris_tp4_fp8kv_bs2_baseline_offset0_n2_isl4096_osl32768_bs2_20260612/slurm-2109517.out,0.0,16.7,2,0,1.0,50.2,,,,,0,,,,,,ok
2109523,verified,qwen235b,verified_osl32k_qwen235b_baseline,baseline,baseline,Qwen/Qwen3-235B-A22B,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_verified_osl32k_bsweep_lyris_tp4_fp8kv_bs4_baseline_offset0_n4_isl4096_osl32768_bs4_20260612/slurm-2109523.out,0.0,33.0,4,0,1.9,50.7,,,,,0,,,,,,ok
2109533,verified,qwen235b,verified_osl32k_qwen235b_baseline,baseline,baseline,Qwen/Qwen3-235B-A22B,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_verified_osl32k_bsweep_lyris_tp4_fp8kv_bs8_baseline_offset0_n8_isl4096_osl32768_bs8_20260612/slurm-2109533.out,0.0,65.7,8,0,3.9,50.8,,,,,0,,,,,,ok
2109538,verified,qwen235b,verified_osl32k_qwen235b_baseline,baseline,baseline,Qwen/Qwen3-235B-A22B,16,4096,32768,16,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_verified_osl32k_bsweep_lyris_tp4_fp8kv_bs16_baseline_offset0_n16_isl4096_osl32768_bs16_20260612/slurm-2109538.out,0.0,132.9,16,0,8.4,51.2,,,,,0,,,,,,ok
2109543,verified,qwen235b,verified_osl32k_qwen235b_baseline,baseline,baseline,Qwen/Qwen3-235B-A22B,32,4096,32768,32,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_verified_osl32k_bsweep_lyris_tp4_fp8kv_bs32_baseline_offset0_n32_isl4096_osl32768_bs32_20260612/slurm-2109543.out,0.0,257.5,32,0,18.3,51.5,,,,,0,,,,,,ok
2109522,verified,qwen235b,verified_osl32k_qwen235b_eagle3_k3,eagle3,eagle3_k3,Qwen/Qwen3-235B-A22B,2,4096,32768,2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_verified_osl32k_bsweep_lyris_tp4_fp8kv_bs2_eagle3_offset0_n2_isl4096_osl32768_bs2_k3_20260612/slurm-2109522.out,0.0,14.3,1,0,1.4,1.3,33.3,2.00,7.14,21.43,1,2,7.69,2129.259,0.0,,ok
2109532,verified,qwen235b,verified_osl32k_qwen235b_eagle3_k3,eagle3,eagle3_k3,Qwen/Qwen3-235B-A22B,4,4096,32768,4,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_verified_osl32k_bsweep_lyris_tp4_fp8kv_bs4_eagle3_offset0_n4_isl4096_osl32768_bs4_k3_20260612/slurm-2109532.out,0.0,19.4,1,0,1.4,1.5,58.2,2.75,12.34,21.20,1,4,18.65,1756.641,0.0,"[rank1]:[W612 15:44:21.330769100 ProcessGroupNCCL.cpp:1826] [PG ID 0 PG GUID 0 Rank 1] Failed to check the ""should dump"" flag on TCPStore, (maybe TCPStore server has shut down too early), with error: Failed to recv, got 0 bytes. Connection was likely closed. Did the remote server shutdown or crash?",ok
2109537,verified,qwen235b,verified_osl32k_qwen235b_eagle3_k3,eagle3,eagle3_k3,Qwen/Qwen3-235B-A22B,8,4096,32768,8,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swe_verified_osl32k_bsweep_lyris_tp4_fp8kv_bs8_eagle3_offset0_n8_isl4096_osl32768_bs8_k3_20260612/slurm-2109537.out,0.0,17.9,1,0,1.4,49.4,49.5,2.49,10.68,21.56,1,8,36.46,1797.624,0.0,,ok
